layer,head,accuracy,precision,recall,f1
0,0,0.9711000000000001,0.9656023586978751,0.9768215815597678,0.9711614307862562
0,1,0.9532,0.960107967641988,0.945520476797632,0.9527496821670566
0,2,0.9472999999999999,0.9619561133452293,0.9312202779018486,0.9463262885039405
0,3,0.9599,0.9661083429500152,0.9532331659681373,0.9596147234699529
0,4,0.9692999999999999,0.9701052380168038,0.9682315899690452,0.9691577896697495
0,5,0.9521,0.949941477716934,0.9542981074859721,0.9520968579688777
0,6,0.9533999999999999,0.9569398429871134,0.9491614485526269,0.9530260456322541
0,7,0.9653,0.9634982110293514,0.9670886917441768,0.9652817331774882
0,8,0.9295,0.9418880631090177,0.9153319205859166,0.92836025981402
0,9,0.9666,0.9649007604217081,0.9683150002016608,0.9665977341917259
0,10,0.9736,0.9653820972830873,0.9823100068070858,0.9737604126796479
0,11,0.9624,0.962527164006554,0.9621392820819539,0.9623263576369869
0,12,0.9632,0.9672677847083933,0.9587242884258821,0.9629707082157818
0,13,0.9733,0.9671975808480038,0.9796987566197973,0.9733968947765753
0,14,0.967,0.9579547974334256,0.9767065249100003,0.9672290945798837
0,15,0.9728000000000001,0.9651395672543808,0.980913107560718,0.9729514787387925
0,16,0.9118,0.915232222835224,0.9075356185413032,0.9113545326757595
0,17,0.9669000000000001,0.9645575854180226,0.9692307422455183,0.9668726869315991
0,18,0.969,0.9597594473404898,0.9788665376694972,0.9692091930248743
0,19,0.9567,0.9596931651907481,0.9532881443664335,0.9564751562143614
0,20,0.9378,0.9298425599352242,0.9467781361335842,0.9382131751837328
0,21,0.9208999999999999,0.9635915475044087,0.8746904100021654,0.9169750170594085
0,22,0.8135999999999999,0.9266066551536799,0.6806100290481056,0.7847561393100958
0,23,0.8801,0.8956878066943273,0.8601026523486979,0.8775124520552483
0,24,0.8878,0.9032961386473122,0.8684620039661887,0.8854521500665744
0,25,0.8995000000000001,0.9109378265295638,0.8853020299858372,0.8978782311395156
0,26,0.8971,0.9130654111024613,0.8776470629873627,0.8949480659055329
0,27,0.9178000000000001,0.9305257174177062,0.9029473417429159,0.9164557917684302
