layer,head,accuracy,precision,recall,f1
0,0,0.9484,0.9549270229303847,0.9409769649772274,0.9478581108060091
0,1,0.9427,0.9465727244566036,0.9382889908720531,0.9423952714969236
0,2,0.9400999999999999,0.9471286641161895,0.9319306723841574,0.9394479105779823
0,3,0.962,0.967018205568046,0.9566078985494325,0.9617752075946377
0,4,0.9704,0.969985360346055,0.9706661460111551,0.9703203091606252
0,5,0.9519,0.9497925939256939,0.9539092472806118,0.9518238522686067
0,6,0.9574999999999999,0.9627617232719246,0.9515834685623856,0.9571080851051633
0,7,0.9621999999999999,0.9618076295593173,0.9625192993482601,0.9621384321052735
0,8,0.9250999999999999,0.9305835173854359,0.918397889685344,0.9244313002367219
0,9,0.9606999999999999,0.9612635757044226,0.9598962050174681,0.9605736309595272
0,10,0.9737,0.9653830136666344,0.9824967887919319,0.9738558570481765
0,11,0.9507999999999999,0.9513232092731891,0.9500323374977917,0.9506644899693939
0,12,0.9615,0.9675302368451751,0.9548817436973552,0.9611620924229811
0,13,0.9716000000000001,0.9669069693480006,0.9764602266017641,0.971645625004621
0,14,0.9717,0.9652389897336077,0.9785125457267589,0.9718255892917289
0,15,0.9732,0.9646296514958108,0.982327482798612,0.973383814717829
0,16,0.9067999999999999,0.9114655036730847,0.9007984038118881,0.9060190958427239
0,17,0.9658000000000001,0.9597443791875628,0.9721953431273127,0.9659093146374236
0,18,0.9647,0.9551540155316693,0.9750151143713299,0.9649551509130825
0,19,0.9488,0.9514903955444245,0.9456015014253193,0.9485061573120408
0,20,0.9195,0.9193428592858186,0.9192257029905739,0.9192327542115752
0,21,0.8984,0.9448590070176037,0.8457958050280757,0.8925725346186819
0,22,0.8400000000000001,0.9498552842033392,0.717667588421068,0.8175594060045668
0,23,0.9004000000000001,0.920260904430727,0.87669433820824,0.8979172621267212
0,24,0.9097999999999999,0.9270391050455953,0.889618871713577,0.9078862331746439
0,25,0.9207000000000001,0.938038414828414,0.9005219930780903,0.9188733088164796
0,26,0.9154,0.9263385458489466,0.9024195876369292,0.9141821037681417
0,27,0.9385999999999999,0.9518458554277537,0.9234664476241378,0.9374274920316404
1,0,0.9716000000000001,0.9608627199256489,0.9831483438720372,0.9718761321439031
1,1,0.9724,0.9638169265776902,0.9815468115387909,0.9725910558869598
1,2,0.9448000000000001,0.9422146226424737,0.9473914780844963,0.9447874676514105
1,3,0.9757,0.9695636823541225,0.9821608827227299,0.9758105365454407
1,4,0.9338,0.9247114806535857,0.9442976809814141,0.934367460338339
1,5,0.909,0.9071327042949127,0.911219293260741,0.9091250926335748
1,6,0.9501999999999999,0.9566903652701727,0.9428040691109514,0.9496808918942736
1,7,0.9494999999999999,0.9510893996845937,0.9477098786878262,0.9493623869106453
1,8,0.9438000000000001,0.951871588505463,0.9346709843918937,0.9431882000329447
1,9,0.9569000000000001,0.9555281363872863,0.9581242412146933,0.9568015638032425
1,10,0.9344999999999999,0.9416924752658747,0.9261405843984264,0.9338288052376997
1,11,0.9571999999999999,0.9711057687057647,0.9423110049591041,0.9564859492266782
1,12,0.9625,0.9735099207873553,0.9506137936194821,0.9618822243649312
1,13,0.9429000000000001,0.9398724446884554,0.946369329051209,0.943063468723486
1,14,0.9653,0.9761985947622778,0.9536552213405967,0.9647854457223832
1,15,0.9762000000000001,0.9693290979465102,0.9833429728396789,0.9762807582305311
1,16,0.9602,0.9453804307529875,0.9767001825178376,0.9607758500864574
1,17,0.9705000000000001,0.9619480028718203,0.9797848286105362,0.9707789797065745
1,18,0.9616999999999999,0.9581718739993663,0.9652265835248638,0.9616804905926291
1,19,0.9661,0.952925307172721,0.9804609584826041,0.966485049139594
1,20,0.9647,0.9557885082519773,0.9746212284477107,0.965098398207157
1,21,0.9456999999999999,0.9473149737419856,0.9436140896886821,0.9454281780789364
1,22,0.9692000000000001,0.9648672022352025,0.9736651370838361,0.9692363809847466
1,23,0.9718,0.9654453795460023,0.9784612370721482,0.9719027459554341
1,24,0.9597,0.9485295497887696,0.9721745810313355,0.9601990569497729
1,25,0.9727,0.9658419794135995,0.9799097278344746,0.9728128742255698
1,26,0.9143000000000001,0.9105377082316716,0.9188278199884088,0.9146269546806669
1,27,0.9679,0.9651971281710626,0.9707140718695093,0.967939941051597
2,0,0.9541000000000001,0.965153895449261,0.9421230072229301,0.9534785782699217
2,1,0.9538,0.9651056030002625,0.9414645799102246,0.9531310851552803
2,2,0.9597,0.9733655000386932,0.9451557472382655,0.9590351557705221
2,3,0.9640000000000001,0.9666591464377469,0.9611681546509543,0.9638942550118508
2,4,0.9702999999999999,0.981158756007984,0.9588993668243047,0.969894832635864
2,5,0.9538,0.9558659794386937,0.9513730466408216,0.9536061978866245
2,6,0.9574999999999999,0.9643348670741732,0.9499749463193204,0.9570587253626721
2,7,0.9615,0.9556391185776849,0.9679769060995442,0.9617477737369367
2,8,0.9612999999999999,0.9495503655656725,0.9743739427119437,0.9617795182471957
2,9,0.97,0.9613323220658572,0.9793480657181499,0.9702499511650391
2,10,0.9704,0.9610176336097304,0.980533564101783,0.9706734601272486
2,11,0.9483,0.9443171665126607,0.9527085955174901,0.9484788793840421
2,12,0.9475999999999999,0.9520962461808476,0.9423709636812754,0.9471832662392673
2,13,0.9553,0.9585146074015928,0.951447077352199,0.954958467714109
2,14,0.967,0.9639739577206392,0.9701082649729218,0.967025478647931
2,15,0.9732000000000001,0.9676888751301387,0.9788834142730065,0.9732505832673501
2,16,0.967,0.9587459989212853,0.9760166435059254,0.9672716747950421
2,17,0.961,0.9531310041495464,0.9694757432989327,0.9612219774052593
2,18,0.952,0.9564896050606878,0.9470840539047227,0.9517526042266639
2,19,0.9526,0.952293988987458,0.9526681584731242,0.9524453006785217
2,20,0.953,0.9529418736411293,0.9527663305761603,0.9528337847974251
2,21,0.9695,0.9556225453128606,0.9847470172715077,0.9699562731967765
2,22,0.9704,0.9649826437362996,0.976119413904874,0.9705112475342613
2,23,0.9593999999999999,0.9571159851017109,0.9616597895196273,0.9593764407919195
2,24,0.9687999999999999,0.9579610761398716,0.9804124227422395,0.9690407511137957
2,25,0.9700000000000001,0.9614367748449191,0.9791370882738437,0.9701961048509234
2,26,0.96,0.963858571727045,0.9555871139145523,0.9596832729044813
2,27,0.9699,0.9630573585801638,0.9773998563675862,0.9701633630888506
3,0,0.9420999999999999,0.9464665125942979,0.936817610099982,0.9416122167878755
3,1,0.9695,0.9795302945723213,0.9588765124451465,0.9690804333899304
3,2,0.9381999999999999,0.9432149068715981,0.9321456781373165,0.9376392961118117
3,3,0.9518000000000001,0.9598122355506622,0.9427293567442737,0.9511680641479339
3,4,0.9634,0.9598496213385717,0.9671006031361609,0.9634389063414315
3,5,0.9576,0.9699100080201373,0.9442077695804183,0.9568722507368698
3,6,0.9335000000000001,0.9343217130602375,0.9322616297561523,0.9332563607635397
3,7,0.9743999999999999,0.9655473878715946,0.9836767201410085,0.9745228096008667
3,8,0.9672000000000001,0.9730481714130361,0.9608596361829115,0.9669079901736252
3,9,0.9731,0.9645300114899424,0.9822586625218884,0.9732949833320186
3,10,0.9745000000000001,0.9704407496685853,0.9787688857500836,0.9745822641782983
3,11,0.9592,0.9746868950546304,0.9425800734139509,0.9583579751437661
3,12,0.97,0.9655047379683703,0.9747067992351803,0.9700678384590642
3,13,0.9716000000000001,0.9623101139664832,0.9815007763453177,0.9718056343433858
3,14,0.9548,0.960390691057792,0.9486479700194108,0.9544702900064687
3,15,0.9326000000000001,0.9291950212847949,0.9364638449121367,0.9327895595519495
3,16,0.9574999999999999,0.9657653093048679,0.9484917258861874,0.9570447917775071
3,17,0.9277000000000001,0.9296641395205711,0.9251106261673397,0.9273654128060983
3,18,0.961,0.956764753384846,0.965546332241708,0.9611131385853933
3,19,0.9677999999999999,0.9653609834164696,0.9702007316676635,0.9677621171697306
3,20,0.9484,0.9537604393983047,0.9424473627644151,0.9480313811277448
3,21,0.9742000000000001,0.9622018334892568,0.987129292125748,0.9744976514105949
3,22,0.9727,0.9682773259859104,0.9774053560715,0.9728085581633652
3,23,0.9640000000000001,0.9573759764125607,0.9712245198060925,0.964231240014807
3,24,0.9765,0.9779601077832218,0.974944361747793,0.9764272213130291
3,25,0.9713999999999998,0.9648774020797545,0.978256738094643,0.9715083061784131
3,26,0.9733,0.9683465884412197,0.9786060414999429,0.9734380226292444
3,27,0.9737,0.9616194451256277,0.9867827364247125,0.9740329331316488
4,0,0.9391,0.9555086000466912,0.920914896177535,0.9378576420569253
4,1,0.9113999999999999,0.9475422368234737,0.8707496516018537,0.907489908472979
4,2,0.9488999999999999,0.9356082927384168,0.9641366477669628,0.9496301738259758
4,3,0.9651,0.9549732425811589,0.976195601461227,0.9654646407091205
4,4,0.9320999999999999,0.9344009119186939,0.929405374763203,0.9318600630273671
4,5,0.9714,0.9663246595794138,0.97675030507375,0.9715023308267604
4,6,0.9494,0.9489100666476862,0.9499076042191987,0.9493867161161003
4,7,0.8437000000000001,0.9248078867798416,0.7478416232513778,0.8269091165293168
4,8,0.9708,0.9635087635374587,0.9784060319189587,0.9708880532713936
4,9,0.9407,0.9775467597290243,0.9018674202018839,0.9381555797077479
4,10,0.9709,0.9642573643528161,0.9778163595997611,0.9709757895536516
4,11,0.9560000000000001,0.9765303301512163,0.9342394551478577,0.95491252757506
4,12,0.9816,0.9781250179669703,0.9851709674998241,0.9816237579629163
4,13,0.9632999999999999,0.9689705292429203,0.9572800965527815,0.9630759436192854
4,14,0.9804999999999999,0.9823773424102941,0.9785686331293133,0.980454646209787
4,15,0.9682999999999999,0.956788613213633,0.9807241166707277,0.9686071402478422
4,16,0.9763999999999999,0.9629944964245313,0.9907043842195723,0.9766486975045037
4,17,0.9776,0.9690069233743406,0.9867033064111057,0.9777618425508099
4,18,0.9671000000000001,0.9796633323191417,0.9539500788121977,0.9666297297615175
4,19,0.977,0.9612739315366866,0.9939429080079767,0.9773298794743559
4,20,0.9808,0.9678577294449724,0.9945708814411619,0.9810219097438854
4,21,0.9699,0.9681010569709535,0.9717263720256085,0.969907718779579
4,22,0.9465,0.9274591479286372,0.9687279028501431,0.9476214594624432
4,23,0.9427,0.9480050785081096,0.936396814344125,0.9421565058207999
4,24,0.9362999999999999,0.9373563449376825,0.9350907116952498,0.9362010300151524
4,25,0.9673,0.9570863482800684,0.9783576325136785,0.9676004196959308
4,26,0.9033,0.8966345349113981,0.9112033341806169,0.9037843624211271
4,27,0.9506,0.9275038804925562,0.9773616913282371,0.9517508233952808
5,0,0.9652000000000001,0.964001629569138,0.9663651202329561,0.9651799459508439
5,1,0.9661,0.9696841437956621,0.9620976168605964,0.9658755267476788
5,2,0.9688000000000001,0.9746808146650683,0.9625818236090721,0.9685869801459276
5,3,0.982,0.9776235191762866,0.9865499025227715,0.9820560370543261
5,4,0.9506,0.9514036184982766,0.949440791707084,0.9504107078031904
5,5,0.9677,0.9654474191435772,0.9699023470904791,0.9676673553103494
5,6,0.9538,0.9539194940526403,0.9535567522033619,0.9537350013345961
5,7,0.978,0.962107429527746,0.9951459661035665,0.9783432903969018
5,8,0.9492,0.9509662470949461,0.9470513697021176,0.948994336810123
5,9,0.9709,0.9629783242914204,0.9793752731277241,0.9711025274488441
5,10,0.9715,0.9601605872409298,0.9837728527538004,0.9718188352306733
5,11,0.9475999999999999,0.9506347555387233,0.9441597242976586,0.9473762644562924
5,12,0.9647,0.9681904682771589,0.960900907386798,0.9645236495865912
5,13,0.9789,0.9711096876722094,0.9871261690195109,0.9790463406121113
5,14,0.9607999999999999,0.9499597278490561,0.9726943952573354,0.9611797068041319
5,15,0.9693999999999999,0.9655085062244634,0.9734743016535436,0.9694680724634036
5,16,0.9731,0.9640231998067303,0.9827767081630775,0.9733020341434748
5,17,0.9714,0.9711536723285314,0.9714537862687707,0.9712965339523212
5,18,0.9574,0.960668438097605,0.9537204388079171,0.957174622829503
5,19,0.9468,0.9804299567634585,0.9115864496284439,0.9447281787747258
5,20,0.9545,0.9370942411997456,0.9740439742629947,0.9552034609949651
5,21,0.9687999999999999,0.9611309746385082,0.9768767174170492,0.9689337888378766
5,22,0.9711000000000001,0.9603172965377572,0.9826820489927739,0.9713442319240592
5,23,0.9746,0.9624951977185333,0.9875586207416965,0.974858451234746
5,24,0.9718,0.9601168120396822,0.9843416263902649,0.9720511385997629
5,25,0.9761,0.9653747294698343,0.9875068382797141,0.9763091995847064
5,26,0.9702,0.9631842515049073,0.977656971706149,0.9703492109799164
5,27,0.9691000000000001,0.961425283818197,0.977402719231892,0.9693433205263104
6,0,0.9377000000000001,0.9636445737472952,0.909806938750816,0.9358834057987071
6,1,0.9751999999999998,0.9704178595994113,0.980157235412738,0.975255962291145
6,2,0.9654,0.9561986576384667,0.9753645162554175,0.9656713433496572
6,3,0.9758000000000001,0.969001239329464,0.9829160338325768,0.9759030768649681
6,4,0.9792,0.9807558597702191,0.977537534590273,0.979133191679239
6,5,0.9690000000000001,0.9563232630916728,0.9829986811668441,0.969457561961035
6,6,0.9697000000000001,0.9780097907865107,0.9608703757648043,0.9693587634716587
6,7,0.9330999999999999,0.9592392967797245,0.9044445443707468,0.9310235581655695
6,8,0.9451,0.9465465811600915,0.9433238606777403,0.9449217389114851
6,9,0.9662000000000001,0.9597005592824978,0.9731136696989378,0.9663563613141258
6,10,0.9761000000000001,0.9709210851627535,0.9815118114658942,0.9761767969970604
6,11,0.9390000000000001,0.9558765802868197,0.9203294156041327,0.9377411663890124
6,12,0.9581,0.9546356063518091,0.961712003376854,0.9581605912108679
6,13,0.9503999999999999,0.9572306764872758,0.9425036972106735,0.9497861503396315
6,14,0.9516,0.9532568704678936,0.9497799696768652,0.9514918125324924
6,15,0.9891,0.9841625953920248,0.9941540845932003,0.9891247480376176
6,16,0.9843999999999999,0.9773162008236962,0.991768955069548,0.984485907527295
6,17,0.9778,0.9792342494565259,0.9763740748634924,0.9777799735147052
6,18,0.9728999999999999,0.9644319277489931,0.9819204173686984,0.9730944639366275
6,19,0.9773,0.9640025086031339,0.9915332328328734,0.9775655921345395
6,20,0.9753000000000001,0.9608062130515392,0.9910220977839248,0.9756707920351804
6,21,0.9621999999999999,0.9522815485514146,0.9731239085896789,0.9625764567149016
6,22,0.9713,0.9594386854865469,0.984163569958721,0.9716424077547103
6,23,0.9726000000000001,0.968295422245018,0.9771612163952208,0.9726972336473632
6,24,0.9756,0.965550921313873,0.9863904871934667,0.975853882258145
6,25,0.9548,0.9454834342594353,0.9650499943061794,0.9551454124959708
6,26,0.9754999999999999,0.9625794516034045,0.9893345164131901,0.9757649451612875
6,27,0.9069,0.9014311958112475,0.913449710499212,0.9073827148311302
7,0,0.9747,0.9632406008149111,0.9869180462446165,0.9749226649679368
7,1,0.9720000000000001,0.963699132122341,0.9809869122076028,0.972258785235001
7,2,0.9829000000000001,0.9814319805565755,0.984416969293104,0.9829150624482061
7,3,0.9628,0.9583701571938448,0.9676180638960183,0.9629615922776601
7,4,0.9795000000000001,0.9810861038792436,0.9778212706700964,0.9794476662660399
7,5,0.9788,0.9705769514192978,0.9875243436721979,0.9789606936193227
7,6,0.9419000000000001,0.9594538975983278,0.9226709454160662,0.9406793360755572
7,7,0.9713,0.9682067661319544,0.9745360554299584,0.9713510903094853
7,8,0.8599,0.9030007475136479,0.8059470088728103,0.8516602240500823
7,9,0.8714000000000001,0.9064180144687839,0.828369894571594,0.8655381658843023
7,10,0.9693000000000002,0.9648882841345283,0.9739152229178704,0.9693601686155242
7,11,0.9178000000000001,0.9050769854369818,0.9335994194586725,0.9190160669980083
7,12,0.9172,0.9198530516136607,0.9140944391462362,0.9169179393570005
7,13,0.8824,0.8674438603500011,0.9027147197015959,0.8847032449464767
7,14,0.9751999999999998,0.9702823893781899,0.9802825790430905,0.975248108813241
7,15,0.9620000000000001,0.9584830871735734,0.9657253380351818,0.9620822288900897
7,16,0.9730000000000001,0.9578423831936984,0.9895709197930472,0.9734313353344206
7,17,0.9706999999999999,0.956074269700354,0.9867242701253826,0.97113595164506
