layer,head,accuracy,precision,recall,f1
0,0,0.9648,0.9631222442650893,0.9664563878999921,0.9647756058107573
0,1,0.9198999999999999,0.9295142928132115,0.9086592951916541,0.9189173978333249
0,2,0.9347999999999999,0.9480460335406574,0.9198341969064094,0.9337096811779431
0,3,0.9475999999999999,0.9548346525521897,0.9395714916585856,0.9471237718914631
0,4,0.9692999999999999,0.9682376741539821,0.970191247480377,0.9691996915501768
0,5,0.9216,0.9190114753885282,0.924316287095942,0.9216385008252118
0,6,0.9344000000000001,0.9387779444860704,0.9290912075054379,0.9339037493122861
0,7,0.9621999999999999,0.9616472699090194,0.9627095040243134,0.962164658744564
0,8,0.9260999999999999,0.936890968977292,0.9134370383922225,0.9249805417139617
0,9,0.9647,0.9640101710164275,0.9653256881928197,0.9646593626597791
0,10,0.9616,0.9568858205993781,0.9665907735369276,0.9616991281021547
0,11,0.9568,0.9560496440330069,0.9575753204278774,0.9568086368854594
0,12,0.9614,0.9667674475090496,0.9555986208374406,0.9611468645868154
0,13,0.9724,0.9673248882093253,0.977691003510151,0.9724666002475757
0,14,0.9677,0.9615115014418834,0.974259349115109,0.9678205477158286
0,15,0.9730000000000001,0.9633353549495197,0.9833054241300466,0.9732018604901624
0,16,0.9137000000000001,0.9168300430764251,0.9096642968855079,0.9132281990797283
0,17,0.9647,0.9574036527095687,0.972468632980584,0.9648661666474668
0,18,0.9471,0.9375563237297904,0.9575904090672888,0.9474570981308699
0,19,0.9488,0.9558804866649082,0.9408341226537698,0.9482797775637504
0,20,0.9274000000000001,0.9207394030355207,0.9349320485832429,0.9277614146275234
0,21,0.921,0.9621479989809769,0.8763693877213855,0.9172448249270546
0,22,0.8426,0.9361664332672675,0.7349390884655753,0.8233849977048424
0,23,0.9031,0.9193542133443696,0.8835065138011844,0.9010239579360662
0,24,0.9098,0.9213057348989928,0.8962636342037934,0.9085002244753039
0,25,0.9116,0.9175661199534904,0.9040725981130752,0.9107271356862763
0,26,0.9215,0.9324722826166166,0.9086340261404444,0.9203705358196247
0,27,0.9265000000000001,0.9350962300327351,0.9162420101611939,0.9255518574614872
1,0,0.9625999999999999,0.9524150509490059,0.9737926731897503,0.9629809362325046
1,1,0.9669000000000001,0.9621166549895481,0.971928374720586,0.9669895677225748
1,2,0.9015000000000001,0.8999852854774659,0.9029783910711495,0.9014696711604481
1,3,0.9667999999999999,0.9612039223809121,0.9727369555211499,0.9669170475940974
1,4,0.9325000000000001,0.9273659369331921,0.938362231258164,0.932757587404855
1,5,0.8958999999999999,0.8952451215096012,0.8964823796445781,0.8958373235013648
1,6,0.8996000000000001,0.9206518856452137,0.8746058158965619,0.8969895561945286
1,7,0.9627000000000001,0.9604149461333984,0.9651353429596862,0.9627617868285576
1,8,0.9359,0.9411903197007379,0.9297710662796721,0.9354296867578725
1,9,0.9385,0.938660156868262,0.9380200939441481,0.938327664043649
1,10,0.9258,0.9460284244789111,0.9029317270974762,0.923957070557672
1,11,0.9638,0.9692260662244939,0.9579405695853602,0.9635455927127856
1,12,0.9578,0.9689250497635102,0.94558889656681,0.9570913152785462
1,13,0.9097,0.9058322522486837,0.9140501101591225,0.9098947031163439
1,14,0.9661,0.9723420662369324,0.9592792853937459,0.9657575710726063
1,15,0.9708,0.9637085779630123,0.9783524430246426,0.970966399188544
1,16,0.9568,0.9411189817262151,0.974303961255037,0.9574063876129916
1,17,0.9657,0.9581201396501662,0.9739967676557916,0.9659908520918188
1,18,0.9648999999999999,0.9649276181812565,0.964754514453516,0.9648296392677633
1,19,0.9667000000000001,0.9544218924071661,0.980089402563545,0.967077009575638
1,20,0.9634,0.9538781022468747,0.9739487538126426,0.9637993576199755
1,21,0.8923,0.8941852148724067,0.8895186708235933,0.8917381009531908
1,22,0.966,0.9642916490742403,0.9677801010884963,0.9660306968958189
1,23,0.9728,0.964194337971163,0.9819071207370984,0.9729684169090855
1,24,0.9513999999999999,0.9432540052668559,0.9606566485377852,0.9518686745281422
1,25,0.9677,0.963664778581238,0.9718890903612692,0.967744654938388
1,26,0.9353000000000001,0.9336599289999814,0.9372134478943916,0.935417275965874
1,27,0.9578000000000001,0.9614121029415486,0.9535006705183189,0.9574090098698355
2,0,0.9379,0.95345093340582,0.9204890865771709,0.9366441778111385
2,1,0.9519,0.9622869728309353,0.940460799467132,0.9512332458885344
2,2,0.9536,0.975420947865057,0.9304312377620164,0.9523899432032092
2,3,0.9568,0.9634296495735726,0.9494872084923637,0.956400851335245
2,4,0.9507999999999999,0.9813985133522918,0.9187094537264546,0.9489741183900543
2,5,0.9513,0.9565839060284234,0.9453598689219216,0.9509296322290506
2,6,0.9462999999999999,0.9551565486872431,0.9363322658547691,0.9456354319853398
2,7,0.9549,0.9543428872546593,0.9555358558271678,0.9549302692363758
2,8,0.9588999999999999,0.9513942514309933,0.9671356493336368,0.9591925388005211
2,9,0.9657,0.9606394200997588,0.9711884779040295,0.9658734415613577
2,10,0.9673999999999999,0.9599811015033101,0.9755372912826014,0.9676748107043999
2,11,0.9447000000000001,0.9478656035048211,0.9410402249187728,0.9444070410160263
2,12,0.9438000000000001,0.9475890753227247,0.9392538703433914,0.9433992453768898
2,13,0.9569000000000001,0.9600285467188228,0.9533711834190726,0.9566508587054354
2,14,0.9666,0.9629815844638167,0.9701884389355442,0.9665629069284771
2,15,0.9696999999999999,0.968175081949122,0.9710115343023787,0.9695823797633215
2,16,0.9637,0.9585236783364376,0.9692932537954008,0.963847238425425
2,17,0.9573,0.9539234804654102,0.9609595747923102,0.9574134185323796
2,18,0.9597000000000001,0.9584247797899879,0.9609070150074569,0.9596629234941301
2,19,0.9333,0.9365986011437004,0.9294237788682276,0.932957875994331
2,20,0.9389,0.9463338859849596,0.9303245664218425,0.9382062611904569
2,21,0.9569000000000001,0.9461020478083656,0.9688481681475827,0.9573156230469244
2,22,0.9652999999999998,0.9606437820847347,0.9702625977049495,0.9654127405926755
2,23,0.9381,0.9360125966385751,0.9402116155930109,0.9380636446617252
2,24,0.9636000000000001,0.9554699752843108,0.9725243388249251,0.9639034823101829
2,25,0.9648,0.9609099245691224,0.9689109874773283,0.9648817096428038
2,26,0.9617000000000001,0.9626617956112726,0.9603650312977278,0.9614836578857598
2,27,0.966,0.9604793392586519,0.9720067776633833,0.966207612288199
3,0,0.9464,0.9514904398002664,0.9405094378348915,0.9459488889504278
3,1,0.962,0.9734986198489846,0.9495942374556332,0.9613867240548627
3,2,0.9215,0.9330420070071611,0.9078286162842902,0.9202029929592911
3,3,0.9296,0.9470697640855998,0.9098019121240786,0.9280407797320889
3,4,0.9486000000000001,0.9611641930955918,0.9347123812162208,0.9477080764119628
3,5,0.9465999999999999,0.9665230764788196,0.925032396895032,0.9453143750666216
3,6,0.9407,0.9429507593274362,0.9379836246197385,0.940429178479752
3,7,0.9602999999999999,0.951805208776776,0.9696316542242333,0.9606294831929448
3,8,0.9592,0.9710501857899786,0.9463112607732682,0.9584813401299727
3,9,0.9689,0.9615207095300645,0.9767410723815892,0.9690646161833886
3,10,0.9610000000000001,0.9559597366803914,0.9662479214965704,0.96107340979503
3,11,0.9554,0.9665194750193719,0.9431130758842767,0.9546602964517673
3,12,0.9593,0.961768812676133,0.9565498135902377,0.9591463898432924
3,13,0.966,0.9613895880305563,0.9709526886705462,0.9661433020994987
3,14,0.9395,0.9486031543328831,0.9291974379397729,0.9387572838802882
3,15,0.9118999999999999,0.9114648243091489,0.9121404700591309,0.9117920008744915
3,16,0.9219000000000002,0.9425367167761044,0.8982203594727489,0.9198257824852586
3,17,0.9234,0.9304546181744255,0.9149532765697181,0.9226119227684304
3,18,0.9609,0.9565021626344088,0.9654524484290106,0.9609270243970778
3,19,0.9638,0.9635911355348201,0.963882584013019,0.9637262567508019
3,20,0.9474,0.9504920989563672,0.9437897946193482,0.9471058227885696
3,21,0.9699,0.9594709666942263,0.9811859134464591,0.970200792409657
3,22,0.9614,0.9565356074767832,0.9666872708396215,0.9615699474415
3,23,0.9606,0.9556115084392195,0.9660047629448046,0.9607652192694938
3,24,0.9737,0.9722812190817149,0.9751047097154061,0.9736839847184923
3,25,0.9616999999999999,0.9577788479911543,0.965928015895385,0.9618310674687558
3,26,0.9682000000000001,0.9611019271634811,0.9759019410520671,0.9684325627826492
3,27,0.9730000000000001,0.9619821743895469,0.9846709575948995,0.9731936216082111
4,0,0.9359,0.956275201484217,0.9134615780657158,0.9343627607397827
4,1,0.9015000000000001,0.9444948605025505,0.8528604143819687,0.8963326097969823
4,2,0.9353999999999999,0.9168178753339113,0.9576166167683574,0.9367476262343202
4,3,0.9667999999999999,0.9545991613544164,0.9801116592682797,0.967170611079248
4,4,0.9195,0.9201199835266719,0.9186707393629716,0.919291034750507
4,5,0.9715,0.9650735963371491,0.9783352018046202,0.9716548461129207
4,6,0.9512,0.9505016044007635,0.9518907064992284,0.9511737899690113
4,7,0.6930000000000001,0.7306047386060645,0.6368390721164827,0.6697204582285016
4,8,0.9659000000000001,0.9517148131174205,0.9815084473585243,0.9663679956575948
4,9,0.9489000000000001,0.9732139117524324,0.9230613815068258,0.9474478683483533
4,10,0.9294,0.9654936706383108,0.8905197766131489,0.9264638650928172
4,11,0.9671,0.9743636810419003,0.9594687356267902,0.966845316531187
4,12,0.9776,0.9717890872210967,0.9837520064252754,0.9777284319325614
4,13,0.806,0.96947621791256,0.631458442568362,0.764678919048533
4,14,0.9741,0.9738075332312471,0.9743219947743652,0.974054861679589
4,15,0.9613999999999999,0.950767561449633,0.973055044153641,0.9617681198692146
4,16,0.9753000000000001,0.9620262878587656,0.9895114976840805,0.9755709288440828
4,17,0.9761000000000001,0.9664679836784534,0.9862734078080975,0.9762622239256482
4,18,0.9516,0.9685209098068027,0.9334116980849976,0.9506141962448043
4,19,0.9742000000000001,0.9593307564387199,0.990334073201127,0.9745715874477469
4,20,0.9773,0.965077467663934,0.9903784757061445,0.977558753872281
4,21,0.9606,0.9640250944868777,0.9568696900085435,0.9604161615204976
4,22,0.9367000000000001,0.918855483777705,0.9579445498043692,0.9379594466566041
4,23,0.9326000000000001,0.9447088096335694,0.9186079955923562,0.9314656061644391
