layer,head,accuracy,precision,recall,f1
0,0,0.4944,0.5193114770726552,0.355052312479919,0.3535940254691985
0,1,0.4962,0.5411564327940667,0.333186241795871,0.31713617896139473
0,2,0.4981,0.5254705985780088,0.3706826001250622,0.37889140288017764
0,3,0.5006999999999999,0.50769753572651,0.4457408748914358,0.4651349914778554
0,4,0.4981,0.5232734290519006,0.3031769440503959,0.289521476835619
0,5,0.4965,0.1978609446789253,0.30130487448651716,0.2325370489602078
0,6,0.4951,0.5349722791504062,0.2933011134236868,0.25543913661889334
0,7,0.497,0.502662486938177,0.30423540474834365,0.28557851514818056
0,8,0.49660000000000004,0.49608035388859745,0.4492472122054248,0.468192100473252
0,9,0.5013,0.50231878965671,0.46435880867274876,0.47988302193191235
0,10,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
0,11,0.49470000000000003,0.49563311252967795,0.3765457720945771,0.40979870326575296
0,12,0.4974,0.4676632369715154,0.32684258463317234,0.32704502327598267
0,13,0.4951,0.4752426279788356,0.3475736386777669,0.35776567005276666
0,14,0.49319999999999997,0.3783724790595263,0.30754770071154686,0.25313796402628314
0,15,0.493,0.4095608594395612,0.2980591436450505,0.23295319031319126
0,16,0.502,0.5020457022443662,0.5017439029996896,0.501627719906803
0,17,0.5034,0.5035809719474302,0.4951617532593214,0.49772044966080753
0,18,0.4981,0.49882613134650544,0.4694101621910295,0.48181901083827555
0,19,0.5027999999999999,0.5035830189704273,0.4751620114038668,0.48701248484247817
0,20,0.4944,0.48899797657860367,0.2701612665328598,0.27748769212081903
0,21,0.5054000000000001,0.5615653780738198,0.31007626426171,0.328456390031463
0,22,0.5014000000000001,0.5072622259418675,0.414911421781951,0.44755265756307605
0,23,0.4948,0.5064824498004012,0.3336007460501835,0.3531238909934261
0,24,0.5045,0.5046302111330543,0.49944881544467695,0.5015168467183339
0,25,0.5029999999999999,0.5047097530604048,0.45975069184568457,0.4781407645368191
0,26,0.49499999999999994,0.4952746778928388,0.48173767141179835,0.4880043172815725
0,27,0.49589999999999995,0.49596898497036596,0.4908275917476024,0.493050385797441
0,28,0.5105,0.5112760970400384,0.49590589994854506,0.5031737140230006
0,29,0.49989999999999996,0.49983903408967933,0.49975131809237483,0.4997943355845199
0,30,0.49219999999999997,0.49174182349135603,0.4587828749018998,0.4737126984480792
0,31,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
1,0,0.5016999999999999,0.5025417516642905,0.42017002320227287,0.45487364924169177
1,1,0.5141,0.5183677347783755,0.4592897938274456,0.4850627067628127
1,2,0.49339999999999995,0.49359581040776745,0.42183727505493146,0.4482036091528365
1,3,0.499,0.4990865588421546,0.49538190399108395,0.49720694395324444
1,4,0.49939999999999996,0.4999083057739142,0.48607171194756377,0.4926377481605936
1,5,0.5055999999999999,0.5057021172752169,0.4923896120806243,0.49880086192702733
1,6,0.5231,0.5244636033196359,0.5043393799279624,0.5138367763759176
1,7,0.5067,0.5083177270150179,0.4618524303167348,0.48252184459390246
1,8,0.499,0.4991685488671675,0.4937761060372073,0.49641274736600777
1,9,0.5027999999999999,0.5027986120305215,0.49000239332260803,0.4959234899873629
1,10,0.5032,0.5054962000470746,0.4183111756769412,0.43962672258815916
1,11,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
1,12,0.5071,0.5100659742325149,0.43326302589187754,0.46678182527878864
1,13,0.49939999999999996,0.5009712224781904,0.46174628198179446,0.4785113431169693
1,14,0.4946999999999999,0.48509125500069683,0.3976688597278043,0.40146845605012826
1,15,0.4951,0.3948518740462787,0.3660681759263749,0.37832545085765346
1,16,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
1,17,0.4989,0.5057888376573969,0.3925073064173977,0.4026400696658804
1,18,0.4952,0.5610444758348262,0.4001211431103524,0.4001471292505864
1,19,0.4986,0.4986543468136122,0.4955805137229608,0.49709933563938546
1,20,0.4991,0.49921196185107153,0.49518329425920704,0.49716145982733123
1,21,0.5001,0.5000370538916595,0.49994992782425174,0.49999264991273007
1,22,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
1,23,0.4946,0.49504326285602734,0.45573305655092256,0.4671120595734742
1,24,0.4995,0.4998938327268251,0.4919549248655432,0.4954559268080699
