layer,head,accuracy,precision,recall,f1
0,0,0.5169999999999999,0.5171109574898062,0.5230608550764979,0.5198588713379774
0,1,0.5212999999999999,0.5197538626990467,0.5586656953297371,0.5383129351239287
0,2,0.5119,0.5130749333819019,0.478557349922775,0.49472095236155955
0,3,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
0,4,0.5014,0.5020165243687446,0.4775421252057092,0.4890033369700286
0,5,0.5152,0.5148019537767362,0.5260178110890686,0.520201527434003
0,6,0.49399999999999994,0.49398610602371934,0.475860761477991,0.48446169514759774
0,7,0.5268,0.5251116766651335,0.5559618158155755,0.5393264520395856
0,8,0.5063,0.506539036673396,0.5053186662016139,0.505662228229947
0,9,0.5141,0.5147877818764137,0.4988127577284958,0.5065669150921164
0,10,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
0,11,0.5020999999999999,0.5023437413232804,0.4665937722167587,0.4837450226963558
0,12,0.525,0.5240221392386,0.5476043807032986,0.5355011016678215
0,13,0.5086,0.5085271705241501,0.5253038842539915,0.5165326478331499
0,14,0.4957,0.4961538346899039,0.5751865319479524,0.532653683946155
0,15,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
0,16,0.5242,0.5548146116306824,0.2592165123838365,0.35205647293695097
0,17,0.5196,0.5226731767347153,0.4606529728069761,0.4894655993352961
0,18,0.5050999999999999,0.5055953908676131,0.45700754263771515,0.48003725739642256
0,19,0.5019,0.5017201289801339,0.5213550742824979,0.5112142915997369
0,20,0.501,0.5032793773975216,0.3705356770463099,0.42387577287325273
0,21,0.5064,0.5083737843387951,0.4684357150407285,0.48694226055785333
0,22,0.49559999999999993,0.49590384240323787,0.5015532858548285,0.49839000222099844
0,23,0.5018,0.5015292502585526,0.5436597823302345,0.5215154058698132
0,24,0.49939999999999996,0.49979667802283795,0.45322468007153527,0.4746117854555686
0,25,0.5085,0.5084529202863701,0.5235044852733969,0.5156519289292467
0,26,0.5035999999999999,0.5052089329948577,0.4074276828772681,0.4494099362545441
0,27,0.5107,0.511700483802011,0.4695568338166651,0.48960809625373375
1,0,0.5093,0.5120843077670474,0.3922882583499837,0.4439110303323811
1,1,0.5085,0.5101878187447192,0.45129669604255424,0.4785580879325798
1,2,0.5004,0.5010779695960059,0.45824089514401445,0.47840782231113577
1,3,0.5035999999999999,0.5053995069372468,0.3557067635917558,0.41670664938801927
1,4,0.5039,0.504411104928076,0.45002481484585555,0.4755393994565309
1,5,0.506,0.5071349865243262,0.4700126830872266,0.48755839719540817
1,6,0.5035000000000001,0.5044466517555388,0.4603068901227417,0.4810320570408256
1,7,0.5011,0.5013848097532503,0.46893550464779976,0.48436670017646255
1,8,0.49939999999999996,0.4992724724919479,0.45740820326851067,0.4770169205075849
1,9,0.4925999999999999,0.4922574966881815,0.45047472280137557,0.4701996395366511
1,10,0.49589999999999995,0.49654435806645847,0.45103135884941786,0.4722378173509033
1,11,0.5046999999999999,0.5051403081796799,0.508189205880072,0.5064706871457311
1,12,0.5115000000000001,0.5127599681921104,0.47404995752493856,0.49227798386678784
1,13,0.5016,0.5018241046899121,0.4719038693118132,0.4862573119039834
1,14,0.5016,0.5012001338429048,0.5268696015652334,0.513186242160445
1,15,0.51,0.5220567805511758,0.2789163917553125,0.35967993299316914
1,16,0.5139,0.514513953305368,0.4960203238628903,0.5050375589663255
1,17,0.5117,0.5179214112779846,0.35014058326924175,0.4172652221681846
1,18,0.5144,0.515197703388337,0.49811128520422,0.5062674506924083
1,19,0.5037,0.5041659328843078,0.44011188138772994,0.4695119331124671
1,20,0.5212,0.5260367103380823,0.438164807539169,0.4778244533737202
1,21,0.4991,0.49984811302703125,0.4422349797715741,0.46876622320828015
1,22,0.5156000000000001,0.5204103493867418,0.40382123556292465,0.4545529227994253
1,23,0.5004000000000001,0.5021442132127046,0.40758555450673317,0.4354903957262269
1,24,0.518,0.5174627314653988,0.5320671918771926,0.5244617436570889
1,25,0.5132,0.5167912461161006,0.4165445968944511,0.46087481061392416
1,26,0.5065,0.5062907843832054,0.5253914922693145,0.5155894759937266
1,27,0.515,0.5205076563925124,0.398313847561661,0.45076273485423235
2,0,0.5277999999999998,0.5318710097045434,0.465400220525258,0.49604669339508317
2,1,0.5077,0.5080677134468736,0.48010130924587946,0.49344314152394064
2,2,0.518,0.5217061646393605,0.4342430808089238,0.4738656316810551
2,3,0.5101,0.5104841136752779,0.4949428471243841,0.5023084407686684
2,4,0.5042,0.505100122374531,0.43618399481908277,0.4677246074007592
2,5,0.5151,0.5152759779640398,0.5016971148803624,0.5081808349111079
2,6,0.5092,0.5096256893622768,0.46896636724111096,0.4881046196338577
2,7,0.5119,0.5147553379012038,0.42122947439823866,0.4630976249148496
2,8,0.5287000000000001,0.5298322397577157,0.5124675055912105,0.5208688041737657
2,9,0.5135,0.5534692700070565,0.6527668055116805,0.5205809563682742
2,10,0.5137,0.5150803360986471,0.47699152790934035,0.4951097339788969
2,11,0.5121,0.513057986866068,0.4736657616155699,0.4925058950517721
2,12,0.5101,0.506970238132016,0.7048315382873225,0.5893057867792804
2,13,0.5279,0.5369062690042083,0.4142108531474764,0.4673212902409924
