layer,head,accuracy,precision,recall,f1
0,0,0.4928,0.48323970972318875,0.22126728047181093,0.3004922020386981
0,1,0.5118,0.5260917557676533,0.2590729307383755,0.34324250127425715
0,2,0.5106999999999999,0.5122690604601264,0.44528723047849317,0.4761266616077437
0,3,0.49510000000000004,0.49474696068232327,0.43956303516896433,0.461725591610232
0,4,0.5031,0.5032375430073373,0.4777821485377299,0.49017609707943066
0,5,0.5052,0.5002405475050204,0.3304794830894998,0.38430163635722636
0,6,0.48630000000000007,0.4803699204130997,0.42392342916316716,0.4461233105400687
0,7,0.5151999999999999,0.519260867003576,0.4318027401206542,0.4709116161662559
0,8,0.5157999999999999,0.5225149822351438,0.3772130383617465,0.4368613912399801
0,9,0.5009,0.5012281084703172,0.23629839378176803,0.31874809441941615
0,10,0.5071,0.5131642622427787,0.28760005793544285,0.3655534411796158
0,11,0.5113,0.5145891914931693,0.429259606701432,0.4674372756457596
0,12,0.5046,0.5051359741415236,0.46558886882875783,0.48430171504340847
0,13,0.4989,0.4988301827769465,0.4532220799621234,0.47488331142492735
0,14,0.4963,0.49568147090652354,0.38231446478609155,0.4307989866318267
0,15,0.49959999999999993,0.39979999999999993,0.8,0.5331425675323407
0,16,0.5119999999999999,0.5128722508777426,0.48056264606673427,0.49579886116983074
0,17,0.5045,0.5158007183048907,0.2788706035877373,0.32835205998396316
0,18,0.5058,0.22953333333333337,0.21561866125760648,0.1622438515978281
0,19,0.5094,0.5109429852830345,0.4412190197294799,0.4733089597142094
0,20,0.5071,0.5080070397287193,0.4583856581062863,0.48183193212662695
0,21,0.4958,0.4951607223642861,0.4649647537739224,0.4792518060078882
0,22,0.5032,0.503428184802267,0.4760435707200953,0.4892410498148464
0,23,0.4967,0.49654184232695425,0.4612563753960298,0.4780169100926333
0,24,0.501,0.501186403953316,0.45603192705032514,0.4774844466588294
0,25,0.5129999999999999,0.5139404589476879,0.4870556865412257,0.4999243769118683
0,26,0.5007999999999999,0.5009203375633946,0.4562003695426367,0.4774667654200794
0,27,0.5147999999999999,0.516024650384422,0.48326967732002907,0.49880844848088246
1,0,0.5084,0.5084175978175544,0.4841007248281426,0.49558459429267215
1,1,0.5030999999999999,0.5032961253068363,0.4796455375433498,0.49088764048280054
1,2,0.5027,0.5029669030208509,0.4624719656429469,0.4815382440940959
1,3,0.5131,0.514281986060839,0.46896102177215127,0.490454565219179
1,4,0.5032,0.5032533779620143,0.45205044217001566,0.4761127002788331
1,5,0.5005999999999999,0.5006106519043992,0.49248159978461475,0.4963977536379036
1,6,0.5052,0.5064087709674452,0.42904798138700573,0.46405453156576143
1,7,0.5102,0.5115142824159647,0.45719177053073157,0.4826442792311477
1,8,0.5069999999999999,0.5068192741642308,0.5134744352859217,0.5100104709869198
1,9,0.5010999999999999,0.5013188531717423,0.4546108135754305,0.47664188824785836
1,10,0.514,0.516124717608095,0.44671009253430904,0.47860478049927924
1,11,0.511,0.5118932729177589,0.46962481125913663,0.4897146002520626
1,12,0.5153000000000001,0.5169162995793297,0.4696339398785533,0.49203099332738615
1,13,0.514,0.5143078342736802,0.5047371240881267,0.5094105441563439
1,14,0.49939999999999996,0.4994574363409455,0.48026498710611615,0.4895999969062553
1,15,0.5270999999999999,0.5287020776767608,0.4951243909235526,0.5111822032130732
1,16,0.5333,0.5365239924301158,0.4894016517810176,0.5115974040134047
1,17,0.5438,0.5452726645570873,0.5262415258430444,0.5355101239850404
1,18,0.5045,0.5051296360893287,0.48027341026701453,0.49218644769851344
1,19,0.5239999999999999,0.5253936571491272,0.4957719812754421,0.5099490677878873
1,20,0.5208000000000002,0.5214307874576536,0.5009748232502063,0.5108382901086728
1,21,0.49349999999999994,0.48762032886769147,0.24106652331628636,0.3200935528918943
1,22,0.5101,0.5126038343618355,0.4131167559042937,0.45722573780693904
1,23,0.5126999999999999,0.5134421755642317,0.49323186099337574,0.5030073006010394
1,24,0.5138999999999999,0.5162619174239692,0.44361579956665287,0.4769994045633112
1,25,0.5064,0.5147077733057517,0.230111846162299,0.3174271893289563
1,26,0.49779999999999996,0.497058569930289,0.33261809051879276,0.39820325185164157
1,27,0.5094,0.5133035330406289,0.3600313748383925,0.42240307207391004
2,0,0.5035000000000001,0.5039881003342275,0.4322393220762456,0.46523006791887217
2,1,0.5036,0.5036816050713812,0.4860993655368563,0.49464391622271914
2,2,0.5113000000000001,0.5116891192549102,0.49284808592820273,0.5018495196838486
2,3,0.5041,0.5048619533724142,0.4454514225595315,0.4729790892996942
2,4,0.5136999999999999,0.5150670913427088,0.4721878701171628,0.49256070155647375
2,5,0.5097,0.5108656978772518,0.4569882921602805,0.4822983827317552
2,6,0.5237,0.5259442989980859,0.4808901945415151,0.5022612943638352
2,7,0.5129999999999999,0.5153987908647466,0.44224386719080966,0.4758001356213376
2,8,0.5069999999999999,0.5073222758038999,0.48731175812090644,0.4968643311057475
2,9,0.5087999999999999,0.507509884999297,0.571462699836878,0.5374409821847002
2,10,0.5055,0.5058228672771394,0.47691776632486915,0.49070780642877293
2,11,0.5142,0.515063654658482,0.4818479135291559,0.4976935457361532
2,12,0.5133,0.513659225330475,0.5018474123380969,0.5075040457988171
2,13,0.5054,0.5062333814651849,0.43723794784093994,0.4689109851264176
2,14,0.5093,0.5138820628365519,0.3379588613808212,0.4074552232907761
2,15,0.5103000000000001,0.512783991020769,0.41359999192380537,0.45766189477203045
2,16,0.521,0.5208189923073424,0.5226153738260649,0.521662300324426
2,17,0.5206999999999999,0.5200373232702262,0.5380206929242816,0.5287229009195421
2,18,0.5105000000000001,0.5113315095902755,0.47077127454884443,0.4900446232407109
2,19,0.5054000000000001,0.5085642645710663,0.34500841509162117,0.41065580308424054
2,20,0.513,0.5154921100193939,0.42537142148658375,0.46508043397410315
2,21,0.5065000000000001,0.5081104585617771,0.4161941110444659,0.45749893376155126
2,22,0.5121,0.5124897937306503,0.5064710463990549,0.5092628492999144
2,23,0.5138,0.5167701373383726,0.4200960154532763,0.4630091086183583
2,24,0.5233999999999999,0.5222364673527918,0.5433751066231136,0.5323581324732225
2,25,0.5024,0.5031455847382725,0.3476809746669518,0.4099618335668452
2,26,0.5035999999999999,0.5060087900567065,0.3043364903019949,0.3795393417399441
2,27,0.5191999999999999,0.5223322434209137,0.44657953051564947,0.4813032336458347
3,0,0.5096,0.5112561840918459,0.44238577291501996,0.4741697897879423
3,1,0.5146000000000001,0.5157902461736356,0.4697094865425765,0.49140276399414995
3,2,0.5119999999999999,0.5141470987920889,0.42340564731271985,0.46392374103238715
3,3,0.5050999999999999,0.5074989532999516,0.3603894190969402,0.42072985027701426
3,4,0.513,0.5134869379559485,0.4873851644667687,0.49985188304251976
3,5,0.5067999999999999,0.5068451728163971,0.4776023089590923,0.4915049659902985
3,6,0.5136,0.514577088890461,0.4751776793047962,0.4939043785214114
3,7,0.5048999999999999,0.5055318066345669,0.4524701220255114,0.47723377634364433
3,8,0.495,0.494685676445893,0.461434741397753,0.4773466968511569
3,9,0.5066999999999999,0.5073083103015804,0.45399919281641016,0.4790290049094592
3,10,0.5319,0.5535340115595494,0.32910177191564066,0.4122354793849675
3,11,0.5141,0.515109894736173,0.4849382061698007,0.499414480180935
3,12,0.5173,0.518529201537033,0.48809953665160133,0.5028057452459003
3,13,0.5159,0.5164711437296082,0.4972038256309677,0.506512179425947
3,14,0.5257999999999999,0.5263873487983974,0.5178475688861346,0.5219969352992256
3,15,0.5156999999999999,0.5176688460884391,0.45791188901921787,0.485906660774004
3,16,0.5124000000000001,0.5178120422676284,0.3695630806385301,0.4306390893528125
3,17,0.5245,0.5279866262925482,0.4617024723689199,0.4925242875416025
3,18,0.5099,0.5104286932156734,0.4787846400659716,0.49401922953887656
3,19,0.5105999999999999,0.5141320160141014,0.38147439149446105,0.43740821980300904
3,20,0.5238,0.5272353567584812,0.46273409262157755,0.49275212253578626
3,21,0.5037,0.5037154237095528,0.4744009592569339,0.4885200687352005
3,22,0.5156,0.5172475215379521,0.4648969229867184,0.4894717243323875
3,23,0.5168999999999999,0.5195966968488765,0.4496086168772614,0.48190786183684453
3,24,0.5075,0.5081043223693771,0.44390637480256273,0.47359607583137364
3,25,0.5118,0.51474816870755,0.4200886893863582,0.4622041925241248
3,26,0.5115000000000001,0.5158827245106724,0.39559051954208024,0.44749563680556664
3,27,0.5223,0.5256369957862634,0.45551780630366034,0.48793495323315533
4,0,0.5173,0.5177404279655123,0.505892508158125,0.5116714012646589
4,1,0.5083,0.5084002753978429,0.5048718414653065,0.5063746776147213
4,2,0.5163000000000001,0.516186955058747,0.5218884769461328,0.5189138740802449
4,3,0.5216999999999999,0.5233109043053114,0.486816473087239,0.5042747583011081
4,4,0.4993,0.4995637098372271,0.42805089733338936,0.46078421663410873
4,5,0.4955,0.49361748883544737,0.3308004059088741,0.39600529320783895
4,6,0.4991,0.4979562213968496,0.17503051456328528,0.25884185868839993
4,7,0.5083,0.5082778956307521,0.5230441120607592,0.51511974786621
4,8,0.497,0.4982215430980016,0.9400237082977491,0.6508254776016689
4,9,0.502,0.5012779754109726,0.9308629449172336,0.6511125420814776
4,10,0.4925999999999999,0.4913161505261364,0.4106879834075764,0.4374475286482615
4,11,0.5045999999999999,0.5028872788152741,0.7654235789717555,0.6060744081231514
4,12,0.5088,0.506282612121556,0.6574044607080782,0.5709330198407396
4,13,0.497,0.4967119532209011,0.4903294755803502,0.49329956456030644
4,14,0.4796,0.4787205895054081,0.47188663971680017,0.47489442008564964
4,15,0.5017,0.501940628064265,0.4229888174461348,0.45900168916527295
4,16,0.5083,0.5075910913161755,0.4610236445275412,0.4814919994030841
4,17,0.4867,0.4814416034798337,0.32574742351590336,0.38816948378768956
4,18,0.5348999999999998,0.5411306258442229,0.4572106555621862,0.49554817409253077
4,19,0.5166999999999999,0.518858043235825,0.45553348784937286,0.48494572885838466
4,20,0.5172000000000001,0.537935468151389,0.2624801138713096,0.35193051751365284
4,21,0.5189999999999999,0.5198591838573483,0.496530016437446,0.5075678771979538
4,22,0.49640000000000006,0.4970983176419203,0.43977407729354107,0.4651202198683023
4,23,0.5241,0.5240451513947489,0.5234715554734375,0.5233639397258953
4,24,0.5246999999999999,0.5232408233673891,0.551076438122047,0.5366517209314405
4,25,0.5264,0.535473523688226,0.4019839571387246,0.4589926730886673
4,26,0.49899999999999994,0.4989368970702365,0.4314925197208467,0.4622071440706018
4,27,0.49470000000000003,0.49136054911685145,0.43233144378598565,0.453279870255238
5,0,0.4901,0.48825952473369244,0.40651155581049503,0.44349886200062477
5,1,0.5057,0.5074122622581643,0.4236912955121384,0.46137658273642684
5,2,0.5187,0.5209429653555105,0.4656124809487939,0.49163789455195045
5,3,0.518,0.521001412661307,0.4549628370195669,0.48558067692072726
5,4,0.5154,0.5182661001817948,0.4472988253000426,0.479900286283928
5,5,0.4995,0.4992991111434276,0.4679239457979386,0.48287109772227355
5,6,0.5029999999999999,0.5033081106625215,0.4756041654759563,0.48884465393511967
5,7,0.5229,0.5262010759274958,0.48071074543912795,0.49521101580192867
5,8,0.5163,0.5298376619535257,0.330530883903822,0.3913065377076606
5,9,0.5,0.500819181855003,0.41256848164068954,0.45205002576409503
5,10,0.5288,0.5291002190002294,0.5243561069131519,0.5248873472299525
5,11,0.502,0.5038964150518032,0.2886934953326027,0.3651461768376466
5,12,0.5123,0.5125052623225758,0.5060341831424238,0.5091116543582113
5,13,0.5094,0.509854194165095,0.4567114601998986,0.48047040357294
5,14,0.5391,0.5335843231499942,0.6235564502666858,0.5737661068288953
5,15,0.5,0.5000953896914383,0.35309608650606605,0.4131041251980919
5,16,0.5147999999999999,0.5215541966451193,0.3652759239298059,0.4284816496985625
5,17,0.5272,0.525260068404507,0.5692083232372809,0.5458004359169746
5,18,0.49959999999999993,0.4990460092115203,0.5663227371120151,0.5285253697161314
5,19,0.5059999999999999,0.5042092352732638,0.6811950578608084,0.5784482588938464
5,20,0.49470000000000003,0.49454169948715687,0.5683421247578448,0.52808690993442
5,21,0.5017,0.5016869652832631,0.47836203770516567,0.4894621666140013
5,22,0.5261,0.5298041684408232,0.454455862146583,0.48493394019026914
5,23,0.5032,0.5027775566245535,0.5113649819544803,0.5066336313294048
5,24,0.5136,0.5094172052777516,0.7833784154020678,0.6161252902751928
5,25,0.48389999999999994,0.48814963588865046,0.8039124301178815,0.6046990314362533
5,26,0.4816,0.48481550048489197,0.6359640767419148,0.5478517408034984
5,27,0.48769999999999997,0.47964938899984977,0.2720577611619602,0.34662570562266465
6,0,0.537,0.5460281021138386,0.4414056780674375,0.48784818894109827
6,1,0.5075999999999999,0.5084836857374678,0.44516013374093977,0.4745478540015
6,2,0.5521,0.5478143695177047,0.6010820075073311,0.5703640176592865
6,3,0.5112,0.5123294576749903,0.4709692399669233,0.4905971878734444
6,4,0.5122,0.5116574692536378,0.5202993835146882,0.5157067507781938
6,5,0.5218,0.5226021395705469,0.5056310058283344,0.5139286269124499
6,6,0.5433,0.5440697447093041,0.5346935639623606,0.5390309224168722
