layer,head,accuracy,precision,recall,f1
0,0,0.73505,0.7306069903488119,0.7441932253380166,0.7372592909454521
0,1,0.7302500000000001,0.7066433782679896,0.7867639034079106,0.7444998873343052
0,2,0.7239500000000001,0.7293313397670866,0.712361046421335,0.7205406747807307
0,3,0.7282,0.6684564594903997,0.9266239171941942,0.7711793384765884
0,4,0.7329,0.697271443990673,0.8226513737323311,0.75471296504817
0,5,0.7242,0.6833610410038198,0.8351264030758753,0.751565806019539
0,6,0.7295,0.690050468183795,0.8333754756321913,0.7548022335284538
0,7,0.716,0.6901325891258747,0.7843116112181436,0.7339759303020158
0,8,0.7132000000000001,0.6864769209778387,0.7848480985573321,0.732196359047206
0,9,0.7354,0.7195299903805583,0.7711585792606049,0.7442828950551984
0,10,0.7286499999999999,0.7302012635788933,0.7245630197829248,0.7273247943654594
0,11,0.72795,0.7244827791883659,0.7354221745626038,0.7297468037018973
0,12,0.7333000000000001,0.6947491404040237,0.8317296890548,0.7570202833482403
0,13,0.7406499999999999,0.7135614198585534,0.80401475269278,0.7559045211196016
0,14,0.7292,0.6772390052037218,0.8749406825092484,0.7634565081224234
0,15,0.72875,0.730137878270781,0.7249293006961359,0.7274862821611456
0,16,0.6967500000000001,0.7900508609825,0.5365537859857193,0.6385896942481648
0,17,0.7344,0.7261439677681485,0.752794240734095,0.7390498530176893
0,18,0.73075,0.7191124596057381,0.7568106344024279,0.7374304472215159
0,19,0.72515,0.698602212828047,0.7911937619706185,0.7419893828813052
0,20,0.71595,0.6945355665443769,0.7721613852063898,0.7308617425023278
0,21,0.6799,0.8258727362711629,0.4557312389368975,0.587163849446914
0,22,0.6581499999999999,0.7262091202964244,0.5075012485765154,0.597172204329123
0,23,0.68585,0.660705622007248,0.7638465729369142,0.7083689543184029
0,24,0.68855,0.68037743912372,0.7116156136570302,0.6953232200828134
0,25,0.7008,0.7012726508814577,0.6996649617360942,0.7002922932852481
0,26,0.6951,0.6942916689048232,0.6971964845426084,0.6954711919636004
0,27,0.71035,0.7172292911587395,0.6945803694067958,0.7055050959256846
1,0,0.7319500000000001,0.6786210684396876,0.8809912868353544,0.7665646899220032
1,1,0.7319500000000001,0.7249580908525851,0.7471030779186661,0.7357767331731013
1,2,0.6957,0.688913592192166,0.7129410451351732,0.7006251533221369
1,3,0.7339,0.6775676893244117,0.8921309356669969,0.770091406693208
1,4,0.7028999999999999,0.6926212848607038,0.7296719942363937,0.710414094748803
1,5,0.7029,0.6740042579849246,0.784970086879361,0.7252324864227573
1,6,0.72445,0.7185086949651396,0.7377529679723605,0.7278973297282727
1,7,0.73135,0.7221477487049458,0.7521398371355632,0.7366577648015555
1,8,0.71425,0.7094248474441488,0.7252384934562481,0.7171940222541446
1,9,0.7095,0.7075405755216153,0.7138755336741098,0.7105914117565997
1,10,0.7107500000000001,0.6956433406733393,0.7490387274483702,0.7212428385627776
1,11,0.7281000000000001,0.7116067963067155,0.7670159849780711,0.7381295236728339
1,12,0.7304999999999999,0.7227281243430663,0.7483243134148909,0.7350956258873984
1,13,0.7146,0.7047539696252024,0.7385698407209478,0.7211446947245178
1,14,0.7313500000000001,0.6746424792405341,0.8934126926843577,0.7686629532765318
1,15,0.7338,0.6933267335042752,0.8394380950629579,0.7590171266955318
1,16,0.7239,0.7047475473374758,0.7700223424072336,0.7358951612292444
1,17,0.72865,0.720155687501962,0.7495328930103765,0.7338604220763767
1,18,0.7305999999999999,0.722793431476785,0.7476741202668258,0.7349616776179438
1,19,0.7313999999999999,0.6803908556856093,0.8723774336774657,0.7644214672595174
1,20,0.72925,0.7266233858193736,0.7353672724906606,0.7306823887324965
1,21,0.7175499999999999,0.7020013885622105,0.7558290820388578,0.7277689753022425
1,22,0.72395,0.7596625909657002,0.6550353298912868,0.7033187933429471
1,23,0.73545,0.6569345040804042,0.9846818031298072,0.7880621165721714
1,24,0.7297,0.6901678360757494,0.8329809135442539,0.7548226458402574
1,25,0.728,0.728975436342475,0.7256337010720549,0.7271990735679021
1,26,0.72505,0.7005841244245257,0.7855481298110576,0.7405586761236311
1,27,0.7226,0.7909363163477746,0.6050615678288768,0.685457098221695
2,0,0.7207,0.7440665244866943,0.6727346709542522,0.7064181237985375
2,1,0.7151499999999998,0.7229213823269242,0.6974923495434846,0.7098815859931698
2,2,0.7274499999999999,0.7350173448761183,0.7111256167227643,0.7227463206900795
2,3,0.7262,0.7142955907239894,0.7538867072332878,0.7334078952646811
2,4,0.7290000000000001,0.7468286862633985,0.6931571704607876,0.718721794731271
2,5,0.7231500000000001,0.6911058054135181,0.806403692176616,0.744255385590679
2,6,0.7200500000000001,0.7111551640772013,0.7409673795029057,0.7256241510861722
2,7,0.7322499999999998,0.7357270931335724,0.7246525617517857,0.7299883598162886
2,8,0.7312,0.7164812586245246,0.7649498430460178,0.7398215059361115
2,9,0.7296999999999999,0.6516015382430425,0.9864166675620509,0.784750793804134
2,10,0.7361500000000001,0.7298164207759953,0.7496456341826785,0.7394662810672878
2,11,0.7257,0.7273363446803811,0.7221113431118712,0.7245057331234391
2,12,0.72415,0.6651756851579316,0.9019493355673317,0.7656208282058908
2,13,0.7182000000000001,0.7410849724840995,0.6705249439888867,0.7038884050054596
2,14,0.73275,0.6847103391490306,0.8619837102327015,0.763165525252434
2,15,0.7358,0.704015658810613,0.8132638990231266,0.7546151399077635
2,16,0.74325,0.7444763370874676,0.740606158629395,0.7424268681228433
2,17,0.7299,0.733148516334625,0.7229599143100719,0.7278164931413278
2,18,0.7301,0.7627775819158991,0.6675751594873849,0.7118642754389165
2,19,0.7129,0.7274763931474011,0.7115653937205707,0.7075089407187134
2,20,0.7089,0.7258102610472367,0.6710255884368452,0.6972279134671131
2,21,0.72825,0.7090011558396672,0.773673945762693,0.7398570666942138
2,22,0.7369999999999999,0.7335765452656491,0.7445054141064995,0.7388110598577616
2,23,0.7280999999999999,0.7060363038826426,0.7813807867394601,0.7416791714826331
2,24,0.7421,0.755533832299874,0.7158614325192076,0.7349818834030071
2,25,0.73385,0.7135774472514311,0.7811549194803198,0.7456901543334806
2,26,0.72965,0.7493483542293005,0.6900669551164004,0.7183467388832516
2,27,0.73745,0.6766119349021977,0.909254685248368,0.7758057112860476
3,0,0.7015,0.7018647256408156,0.7007077847160894,0.7010887658055517
3,1,0.7336500000000001,0.8486624086444126,0.5689745689895936,0.6808757167576683
3,2,0.7115,0.7217953052821932,0.6887270850177001,0.7045377200929291
3,3,0.71375,0.7165094453951684,0.7072895587318554,0.711658728636188
3,4,0.73125,0.68461939541446,0.8569742560816536,0.7610715599887431
3,5,0.7219999999999999,0.724546463450138,0.7163571483442925,0.7202169932107692
3,6,0.7120500000000001,0.7097228845040207,0.717783580204767,0.7135007554674588
3,7,0.7236499999999999,0.6670580635183425,0.892566041442849,0.7634232307901534
3,8,0.73085,0.7414725618805578,0.7088901766575975,0.7246515404688978
3,9,0.73785,0.7277094604632912,0.7600355765654683,0.7433626675413081
3,10,0.7324999999999999,0.6602998752473828,0.9567662743533383,0.7813242281086265
3,11,0.7331000000000001,0.7501111705928664,0.6988083284985471,0.7234554405738266
3,12,0.7392,0.76194685405135,0.6954686558005673,0.727134658461885
3,13,0.7466999999999999,0.7923635213714417,0.6684335482765007,0.7250279309053838
3,14,0.7237,0.7284394436143834,0.7133989922166281,0.7206985121451129
3,15,0.7091,0.7071730960564901,0.7144202627296197,0.7104628116458805
3,16,0.7141000000000001,0.6881414616433228,0.7826506219832806,0.7322609245600302
3,17,0.7176499999999999,0.7093888337962102,0.737035467179387,0.7228365831249456
3,18,0.7228000000000001,0.7254025961238837,0.716610903831934,0.7208965632860233
3,19,0.7278,0.8032074374712737,0.6033537496298476,0.6888951568972003
3,20,0.7159,0.8375438226360302,0.5825398067696431,0.6616400707400837
3,21,0.7435,0.7087617888903566,0.8269397543034719,0.7631255040511193
3,22,0.7352500000000001,0.7089853098041002,0.797778305435733,0.7506854137083462
3,23,0.73395,0.70479701511352,0.8052034159857261,0.751476302989383
3,24,0.7356999999999999,0.6769922050149273,0.9012966901655318,0.77303825477026
3,25,0.7391500000000001,0.6792804892326136,0.905883816138522,0.7763071539829001
3,26,0.7439500000000001,0.6887717357518268,0.8898396502978786,0.7763958601759195
3,27,0.73745,0.7028196294038385,0.8228280081410647,0.7579201070034635
4,0,0.7149500000000001,0.7314254039304281,0.678533981370666,0.7039546793473133
4,1,0.7093,0.7399601605115466,0.6453534222267587,0.6892535920432936
4,2,0.7226,0.723467790334403,0.7209890678220484,0.721897818965466
4,3,0.73285,0.720527065058377,0.7602056807793008,0.7398132332275499
4,4,0.7105,0.6592715602660677,0.8703005799435879,0.750211745221025
4,5,0.7354499999999999,0.7224349048391285,0.7645278043441792,0.7427497037731071
4,6,0.7345,0.6898346773032948,0.8588374805308469,0.762829054279234
4,7,0.5972999999999999,0.5589607071102023,0.9297492309624593,0.6976756553750174
4,8,0.73655,0.7056016053019595,0.8119938039120189,0.7548600775531373
4,9,0.7396,0.7017652532234363,0.8339960544666679,0.7619133245418495
4,10,0.7236,0.6856971644904655,0.8269555290936326,0.7493054920066552
4,11,0.7443500000000001,0.7174766668720027,0.8060389600977823,0.7590547537520091
4,12,0.7620500000000001,0.7216145253055557,0.854323840110627,0.7820133409662359
4,13,0.6925000000000001,0.9526647288239694,0.40493334373783796,0.5682311909763758
4,14,0.7433500000000001,0.6730975593658076,0.9456368345770907,0.7863757908936696
4,15,0.73265,0.8644891180324382,0.5518413438914189,0.6734395484309278
4,16,0.7362,0.7917981394822526,0.6413271855212175,0.7083110636192889
4,17,0.7461,0.676174849600584,0.9438283077713556,0.7878493005768905
4,18,0.7228499999999999,0.6636777488730469,0.9029344300912447,0.7649856032028357
4,19,0.75355,0.7241312039318284,0.8187390596557382,0.7684588431861421
4,20,0.7426999999999999,0.736555813361322,0.7554664453710466,0.7457719430743388
4,21,0.7253999999999999,0.8662480871286036,0.5328331344835953,0.6597396501317091
4,22,0.7278,0.6991468019549731,0.7998780292781633,0.7459441463745857
4,23,0.7109,0.820684136865381,0.5396709968261482,0.6509429060979326
4,24,0.7128,0.7151277854570083,0.7073604790130287,0.7110624415211851
4,25,0.74465,0.7925585683637181,0.6629521271701364,0.7217406383514863
4,26,0.712,0.6941603723982436,0.757468895360091,0.7243513861139268
4,27,0.7303,0.685555312719046,0.8504695652088847,0.759071284224081
5,0,0.7329000000000001,0.6547575682606647,0.984506207839854,0.7864298605549658
5,1,0.73,0.6527615087020654,0.9820431636451472,0.7841960276721599
5,2,0.73595,0.6823197540995338,0.8855289478242414,0.7699505740340639
5,3,0.7421,0.6947957771292373,0.8632471803184714,0.7698122628571652
5,4,0.73785,0.7661782069247522,0.6850866182269325,0.7230457153815436
5,5,0.7382000000000001,0.7120246342553489,0.7995178348829048,0.7531409725294573
5,6,0.71355,0.725433178967038,0.6869495158374539,0.7055199080892024
5,7,0.7433,0.7586084963339855,0.7134239329798013,0.735212747762173
5,8,0.7262,0.6881904539986914,0.8511173348832974,0.7540511090103792
5,9,0.7293499999999999,0.665960432308929,0.9190795168745997,0.7722753422169683
5,10,0.7448,0.7499428065188563,0.7343270527202024,0.7419078489587803
5,11,0.73735,0.7259320672328803,0.7622448091301093,0.743585429103707
5,12,0.7372500000000001,0.7159172690255018,0.7862160215922384,0.7493918190681341
5,13,0.7482,0.7067143848424049,0.8566207500627868,0.772356668812766
5,14,0.7279500000000001,0.6989828603818651,0.8004620629955481,0.7461792526214144
5,15,0.7358,0.7223816632751895,0.7656076650325979,0.7432686184264109
5,16,0.74545,0.7641134758750467,0.7100494723818375,0.7358265138981592
5,17,0.7388,0.7413893789287279,0.7330837263280573,0.7371213731287913
5,18,0.7302500000000001,0.6996637132510821,0.8064938639021759,0.7491810714109989
5,19,0.72265,0.9219374471375982,0.48605428926280786,0.6365072695660192
5,20,0.7368500000000001,0.7159658978064736,0.7848415156500114,0.7487082080071005
5,21,0.7448,0.7517795350291205,0.7311331966395608,0.7410650287556171
5,22,0.7493000000000001,0.6953102912598833,0.8867010851800033,0.7793947659411844
5,23,0.7371,0.6819890924700398,0.9026843336985497,0.7730011065482111
5,24,0.7332500000000002,0.7807985213131163,0.6490246736069423,0.70847526285566
5,25,0.73775,0.7270335394620953,0.7614565030826708,0.7436176813013006
5,26,0.76025,0.7379825841114519,0.8067849719830125,0.7707263443777931
5,27,0.73315,0.6765989906503546,0.8942813435947329,0.7699098604154786
6,0,0.69895,0.7754998931252265,0.5602066010413153,0.6501301118650101
6,1,0.72975,0.8860111132568346,0.527133952998797,0.6608919456238928
6,2,0.7393,0.6877350875874663,0.876002426983454,0.7704528007211693
6,3,0.73005,0.7867739349649131,0.6312153259027458,0.7002544244297737
6,4,0.7325,0.6703232199500074,0.9191638959469849,0.7741602994696739
6,5,0.7292500000000001,0.7480152278262715,0.6918341009029167,0.7184866338451117
6,6,0.73295,0.7335933497118282,0.7313253358523668,0.7323274916949785
6,7,0.71865,0.7656276220797424,0.6313030741269854,0.6913725578679083
6,8,0.73385,0.8352527036296118,0.5825857895466222,0.6862108014427833
6,9,0.73285,0.8135493206650836,0.6274060885255277,0.6977232163068002
6,10,0.75415,0.6977929247634255,0.8974676935987755,0.7847459585886382
6,11,0.72735,0.7440830807410632,0.6935339014220782,0.717537446686522
6,12,0.7246499999999999,0.7201959151131255,0.734667476469021,0.7271313273559803
6,13,0.7279,0.6837104419604495,0.8474557020170407,0.7567697649297191
6,14,0.74285,0.6979922080332323,0.8558462037073014,0.7688236223826316
6,15,0.7442,0.6965879371292438,0.8680103120686056,0.7721591419806781
6,16,0.78285,0.7440298376794104,0.8620776527941937,0.7986468686870859
6,17,0.75315,0.7699119145518206,0.7221065029758187,0.7450647845135812
6,18,0.7432000000000001,0.72349595529282,0.7873339845520239,0.753883578662129
6,19,0.761,0.7392068267599805,0.8061322874800423,0.771169438022239
6,20,0.7441,0.7314778857784915,0.7710066357114826,0.7506552793740052
6,21,0.7231,0.732720989723236,0.7031133357648109,0.7171953829714205
6,22,0.74275,0.6959472542953723,0.8621668637858051,0.7700708796243382
6,23,0.7108,0.7878784514999231,0.5770693064190173,0.6659237996733992
6,24,0.7466,0.6757351097063459,0.9475120056043883,0.7888354052772337
6,25,0.72265,0.6585512697413054,0.925744271891633,0.7691912483862564
6,26,0.7402,0.7195941208548067,0.8318339528333869,0.7571995680779942
6,27,0.71925,0.677131815266707,0.8438384002157855,0.7498896938810283
7,0,0.7449,0.8672655457228151,0.5781788887293894,0.6936684640166992
7,1,0.73695,0.7231202699173951,0.7678217430163269,0.7445924838718501
7,2,0.7398,0.6592324683759269,0.9918704976265689,0.792014025189299
7,3,0.7398,0.8914187233740977,0.5459642909410276,0.6770449957902716
7,4,0.7413,0.675620479325912,0.9303495453404078,0.7822035336722357
7,5,0.7441500000000001,0.7713670266848169,0.6943178986161581,0.7304865396346943
7,6,0.7484499999999998,0.778082115113423,0.6949493962418268,0.7340623876132806
7,7,0.7492500000000001,0.6759286617115539,0.956958588209263,0.792190398718739
7,8,0.67445,0.7083946030390769,0.5931319203026995,0.6454231299546567
7,9,0.7052,0.6678221811253866,0.8165704564164032,0.7345798682492013
7,10,0.72945,0.7720758271442978,0.6513918853301925,0.7063735929123742
7,11,0.7388,0.7535376140942651,0.7112534461691666,0.7311762455204531
7,12,0.7119,0.7898478810722979,0.5775154975288973,0.6669867903604527
7,13,0.7041000000000001,0.6820250009440626,0.7652771162077874,0.7209530711091201
7,14,0.74945,0.7008393082887141,0.8698063765727033,0.7761655108495601
7,15,0.7277500000000001,0.7183008340167787,0.7491972566859769,0.7331990843048666
7,16,0.75655,0.6828680133506914,0.9574398610128412,0.7971163254461807
7,17,0.7432999999999998,0.7072683947674797,0.8295295722291804,0.7634756651885672
7,18,0.7294999999999999,0.6858147623554134,0.8467970019719807,0.757725434267113
7,19,0.7311500000000001,0.7067290023610251,0.789824129191273,0.7458215996548362
7,20,0.7517,0.6753516567481471,0.9696329450580876,0.7960105137221749
7,21,0.70995,0.7050209893870477,0.7215233160993583,0.7130466470679055
7,22,0.7311500000000001,0.6995428402083501,0.8615199414591987,0.7578306637072927
7,23,0.7099500000000001,0.7442756208166367,0.6399327425663739,0.6879065919773517
7,24,0.73955,0.7664706825667942,0.6900724639797554,0.7257830302762175
7,25,0.7032999999999999,0.6915008314961044,0.7336582514890152,0.7118162276558071
7,26,0.7039000000000001,0.7069040639656251,0.6977090715903295,0.7017868393784138
7,27,0.75015,0.7486604025374674,0.7529955095982297,0.7506082816854392
8,0,0.7296,0.7537479436954095,0.7247372220604704,0.7226524340686268
8,1,0.7422500000000001,0.8661344929893758,0.5731270337360213,0.689562535409937
8,2,0.73655,0.7368545141647206,0.766106264620251,0.738460871284282
8,3,0.7292500000000001,0.6585215672548487,0.9512060811002943,0.77823504586867
8,4,0.7186,0.6464651458538656,0.9639982478100105,0.7738854750579793
8,5,0.7321,0.7792226888606983,0.6485258337689439,0.7071151894717158
8,6,0.7436999999999999,0.6645789721480362,0.9832885616897657,0.7930715040063653
8,7,0.726,0.7009842457547169,0.8023257276225211,0.7434967293296195
8,8,0.73325,0.8293688092337028,0.5871291651270614,0.6874024467014213
8,9,0.73705,0.718470844161476,0.8051204844888789,0.7514302697290417
8,10,0.7358,0.7040786137085642,0.8129425271373503,0.7545293598711569
8,11,0.74495,0.6984522156028099,0.8616186142310533,0.7713990364969192
8,12,0.7335499999999999,0.6775173014133409,0.8914441748147908,0.7697374621315893
8,13,0.7227499999999999,0.6531108545855059,0.9498970787502617,0.7738995561522147
8,14,0.7255499999999999,0.8332698113979593,0.5644165836641031,0.6724426370555951
8,15,0.728,0.7052190539888581,0.783726681479222,0.7421361644061267
8,16,0.7250500000000001,0.6693055887000672,0.8891876710179849,0.7636455227853831
8,17,0.7139000000000001,0.8785376726352492,0.4960531231280356,0.6340028644716982
8,18,0.7188,0.6513306127230756,0.940900975032657,0.7697254053874824
8,19,0.73055,0.7865084951688044,0.6327436884710806,0.7010161330136696
8,20,0.7314999999999999,0.6755513775025404,0.9099513761004833,0.7695066067292138
8,21,0.7569,0.9401791255512567,0.5485393632852373,0.6927294435416541
8,22,0.7511000000000001,0.8154223390116293,0.6490734712321393,0.7226254560494161
8,23,0.6939,0.7467017141284795,0.5871883461232936,0.6568741879469684
8,24,0.7548999999999999,0.9066474608522238,0.5682007694413136,0.6985016230774315
8,25,0.7461,0.7588414768156,0.7212411458901353,0.7394440085831041
8,26,0.7500500000000001,0.7171154700369635,0.8254341084742419,0.7674035235775597
8,27,0.747,0.730978728725276,0.7814459202956924,0.7552493334601155
9,0,0.7223499999999999,0.7364887733011967,0.6921061559174715,0.7134937172685563
9,1,0.70745,0.9488929099546202,0.43820371705035166,0.5995270364115604
9,2,0.7288,0.7439585367787919,0.6971404366998647,0.7197593541795978
9,3,0.73675,0.7984902889732266,0.6730556623449269,0.7128585020060726
