layer,head,accuracy,precision,recall,f1
0,0,0.9571,0.9513566461168198,0.9632593932583069,0.9572588260235776
0,1,0.8734999999999999,0.8591103194685414,0.8930150165977644,0.8757221998664292
0,2,0.7559000000000001,0.8032479853487097,0.6775314033214671,0.7348090150928518
0,3,0.7594000000000001,0.7602614761828781,0.7572698973359075,0.7584568870734929
0,4,0.8697000000000001,0.874050929606416,0.8641296801758471,0.8688277883607055
0,5,0.9704,0.9660524825762886,0.9748406293829671,0.9704207094239262
0,6,0.9160999999999999,0.9146681650284088,0.9174445547725398,0.9160265903560484
0,7,0.6209,0.6334352555980008,0.5752803608492364,0.6019673755459689
0,8,0.9564,0.9456481637909778,0.9682350839214248,0.9567958933112541
0,9,0.9494,0.9176537151947116,0.9871435988864578,0.9511046938807395
0,10,0.9708,0.9661731288139579,0.9756347545550905,0.970865283404709
0,11,0.6355999999999999,0.6454977405160551,0.6027788731958921,0.6226572062841973
0,12,0.8968,0.9346061411819411,0.8531960417807983,0.8919942872662606
0,13,0.6462999999999999,0.6538731249336863,0.6239820843863662,0.6377086713700857
0,14,0.6859999999999999,0.7011918120562701,0.6479827972605046,0.6731966891403012
0,15,0.9240999999999999,0.9294051160914917,0.9177997293955645,0.9235405211472569
0,16,0.9013,0.9135228648869032,0.8863042675210246,0.8996221828495095
0,17,0.9234,0.8974670639580307,0.9557433223438012,0.9255762453176493
0,18,0.9667,0.9628809581334034,0.9706555761692222,0.9667446088148768
0,19,0.7812,0.7662391418529487,0.8083257748803989,0.7866410922722348
0,20,0.78,0.7970943706826945,0.751147626236204,0.7733159162997646
0,21,0.7375999999999999,0.729740408864193,0.7536714691857196,0.7413163738381188
0,22,0.9576,0.933057995154656,0.9857219822834145,0.9586436108724445
0,23,0.9280000000000002,0.9122851220888233,0.9466978011778077,0.9291509670698298
0,24,0.6035,0.6078015013694701,0.5837901456243731,0.5942808408724314
0,25,0.9707999999999999,0.9668539718247203,0.9749383526059215,0.970871020222727
0,26,0.9547000000000001,0.9311958746022182,0.981643558037511,0.955749426891684
0,27,0.7146,0.7327885012719559,0.6769122260552097,0.7028125955062058
0,28,0.9023,0.8585660281934725,0.9626877943533879,0.9076106996675064
0,29,0.9427,0.9349646836088118,0.9512216796919608,0.9429841390850566
0,30,0.8187999999999999,0.8199215241972844,0.8175594119408816,0.818308367937232
0,31,0.7344999999999999,0.7342790493796507,0.734050061335034,0.7340443806345821
1,0,0.9709,0.9592406407152643,0.9835542899819829,0.9712362279035494
1,1,0.9294,0.9659576559477454,0.8899747922508823,0.9263863205561383
1,2,0.9614,0.9476044131666107,0.9767658714934304,0.9619521709367381
1,3,0.8981,0.9017975123395174,0.8933199429684746,0.8974520311862435
1,4,0.9077999999999999,0.8926435083234161,0.9269712000612282,0.9094259726548714
1,5,0.8720000000000001,0.8653846511153299,0.8806710901267314,0.8728836145614471
1,6,0.9572,0.9715056660040874,0.9419927886649464,0.9565051268140703
1,7,0.9664999999999999,0.9540539458069581,0.9801285064708314,0.9669076481563392
1,8,0.9449,0.947866390088746,0.9411556566790464,0.9444790432811626
1,9,0.8225999999999999,0.8178859066381291,0.8291980075351824,0.8234523729852921
1,10,0.9730000000000001,0.967374100006818,0.9789326311565537,0.9731098509857302
1,11,0.8301999999999999,0.848407157602837,0.8036774180435586,0.8253080220345451
1,12,0.8160999999999999,0.8153823849174759,0.8164042588624374,0.8158225439606779
1,13,0.9244,0.9270407808400936,0.9212796697494386,0.9240687285805802
1,14,0.9318,0.9254130228512214,0.9390040716014754,0.9320662215908593
1,15,0.8519,0.9187466937249417,0.7714075037593678,0.8386457519512689
1,16,0.9368000000000001,0.9704444074240905,0.9007930907162457,0.9343143480716181
1,17,0.923,0.9374839625543014,0.9063814944679127,0.9216658596112165
1,18,0.9224,0.9795189396365906,0.8626484964217417,0.9173648851855802
1,19,0.9711000000000001,0.9668543376300274,0.9755794865960681,0.9711870576444289
1,20,0.8673,0.8741090224566028,0.8577109770276017,0.8657916822134842
1,21,0.841,0.837050863225803,0.8462679600455647,0.8415900090303012
1,22,0.9753999999999999,0.964952567159631,0.9865683131178707,0.9756299923205056
1,23,0.9721,0.9671283492470648,0.977250593649047,0.9721512215492834
1,24,0.8965,0.9703041725367727,0.817636118396176,0.8874098996177683
1,25,0.9721,0.9646728038480881,0.979806425117706,0.9721698586276297
1,26,0.9704,0.9675311043650094,0.9732939457812904,0.9703994660903795
1,27,0.9658999999999999,0.9667054139087605,0.9648659473058941,0.9657706240320871
1,28,0.7935000000000001,0.9386450316862529,0.6277680514102851,0.7522103062574643
1,29,0.9635,0.9626241402694993,0.9643346513359672,0.9634646609818918
1,30,0.9445,0.9575102509108637,0.9300233735514969,0.943561218210559
1,31,0.9263,0.9326671889397661,0.9188143221772378,0.9256515264386026
2,0,0.9512,0.9661296269038541,0.9351398527928143,0.9503644935150357
2,1,0.9318,0.9293321830678734,0.9346550887769828,0.9319493082817321
2,2,0.8785000000000001,0.9698821522539433,0.7808360756331111,0.8651456668519938
2,3,0.9628,0.9596604584739767,0.9659808124903954,0.9627964350246028
2,4,0.9719,0.9610816776108694,0.983571003075161,0.972191197823341
2,5,0.9512,0.9671655703251909,0.9339517619469657,0.9502454109200957
2,6,0.7683,0.8398277227132713,0.6627166105851924,0.7406061399770973
2,7,0.9701000000000001,0.9561533839922735,0.9852708014741951,0.9704840070499247
2,8,0.9324,0.9685054459978041,0.8935331146329565,0.929501924389253
2,9,0.8801,0.9078067695712342,0.8459923751942314,0.8757644964698459
2,10,0.9696999999999999,0.9605805606875364,0.9794669096756374,0.9699201898044763
2,11,0.9696999999999999,0.9664068507856227,0.9730526901753807,0.9697093048536184
2,12,0.9258000000000001,0.971796742553362,0.8767157730881807,0.9217069585654128
2,13,0.9213000000000001,0.9717363138533258,0.8679194719477861,0.9168534030892633
2,14,0.9739000000000001,0.9624645426577472,0.9861199702544419,0.9741425116468043
2,15,0.9637999999999998,0.9634360843202169,0.9640820211295612,0.9637451134173816
2,16,0.9612999999999999,0.9665571239382695,0.9554473105071519,0.9609673631585451
2,17,0.9146000000000001,0.9640916703875035,0.8611804213514864,0.9097054903432055
2,18,0.9334999999999999,0.9194121238903452,0.9502467171574362,0.9345560439125539
2,19,0.8878999999999999,0.9652767521845285,0.8044764769788222,0.8775388726049052
2,20,0.9498000000000001,0.9620960226444047,0.9361915106080565,0.9489628967715694
2,21,0.893,0.8969473592342634,0.8876468000716816,0.8922634103600255
2,22,0.9376,0.9430805417911564,0.9313780941346309,0.9371746666976468
2,23,0.9443999999999999,0.9428190444834131,0.9461518729220237,0.9444698861647318
2,24,0.9591000000000001,0.94593002703037,0.9734045549681406,0.9594680939438787
2,25,0.9134,0.9014934654896057,0.9280945786955133,0.9145679975810509
2,26,0.9093,0.9097861324586554,0.9082575932127327,0.9089577111614086
2,27,0.9734999999999999,0.9621235684487888,0.9856693532026533,0.973745918883095
2,28,0.9233,0.8907281737108195,0.9649511203236465,0.9263124422354249
2,29,0.9768000000000001,0.9675885476785322,0.9864881538712373,0.9769408403602332
2,30,0.9431999999999998,0.9292298017011325,0.9590532193834169,0.9439025390672591
2,31,0.9548,0.9670806214599,0.941525622030311,0.9541158315083583
3,0,0.9480000000000001,0.9495312571514004,0.9461673325858604,0.9478191353007104
3,1,0.9583,0.9480830978247864,0.969421621835125,0.9586222211128733
3,2,0.9484999999999999,0.9641807471781803,0.9314013883953935,0.9474911785779699
3,3,0.9705999999999999,0.9570171150307554,0.9853367795407646,0.9709646350832525
3,4,0.9483,0.9654268201086345,0.9294838736650373,0.9470982455167241
3,5,0.9493,0.924221861824144,0.9787661442020594,0.9506717686380103
3,6,0.9166000000000001,0.9418169440867427,0.8875323573476374,0.9138259867392943
3,7,0.8999,0.9221486348665067,0.8733762360506161,0.8970737475443897
3,8,0.9666,0.9625128429144849,0.9709158983768204,0.9666869468845658
3,9,0.8937999999999999,0.8814360965649446,0.9096918941303518,0.8952881823885533
3,10,0.85,0.8259129129353969,0.8867116432081839,0.8551020461014112
3,11,0.9548,0.9385243816122875,0.9734045110692721,0.9556074658307606
3,12,0.923,0.9244732152244364,0.9208527975944559,0.9226298514514404
3,13,0.9516,0.937733077829009,0.9675312459088359,0.9523785395920432
3,14,0.9551000000000001,0.9623156564742054,0.946989585419997,0.9545871765854732
3,15,0.9318,0.9508201508020147,0.910350550561664,0.9301337897041074
3,16,0.9570000000000001,0.9446774785412032,0.9708163749511612,0.9575572225261653
3,17,0.9343,0.9379549823265606,0.9301329391309731,0.9339952044054172
3,18,0.9698,0.9580090074665488,0.9825211833923093,0.9701030975664343
3,19,0.9681000000000001,0.9659254139201321,0.9702507951699892,0.9680668694189315
3,20,0.9463000000000001,0.9667134264473098,0.9241701098877886,0.9449547113144725
3,21,0.9512,0.9572071956438242,0.9444313207350895,0.9507599230060281
3,22,0.9683999999999999,0.9572018636638322,0.9806071337254926,0.9687498234249683
3,23,0.9279999999999999,0.9659289205948788,0.8871038189525462,0.924829803304646
3,24,0.9079,0.9133264430443214,0.9011122777566802,0.9071623699498337
3,25,0.9450999999999998,0.9324402354184839,0.9595003130818686,0.9457742358862611
3,26,0.9537000000000001,0.9688485284250152,0.9374758786364701,0.9528839103295226
3,27,0.8628,0.9505616788452368,0.7650118354448846,0.8477371474162562
3,28,0.9707000000000001,0.9598930795438871,0.9822850609085352,0.970951217938719
3,29,0.9581,0.9395826538168605,0.9789522051487726,0.9588551674182322
3,30,0.9692000000000001,0.9588739389730963,0.9803364071515575,0.9694777639960263
3,31,0.9494,0.9739121581404838,0.9234560746663911,0.9479892286050019
4,0,0.9501999999999999,0.9688808393543763,0.9301215725470874,0.9490993479970768
4,1,0.9471,0.938709296543254,0.9564850134274734,0.947491242553913
4,2,0.9276,0.9130568661914206,0.9451047110667659,0.928780750223796
4,3,0.8565000000000002,0.8586013514993018,0.852998947030741,0.8556964181591973
4,4,0.9768000000000001,0.9665269774274476,0.9876812058823251,0.9769819349619591
4,5,0.9359,0.9429140590793198,0.9279157027470489,0.9353468912999414
4,6,0.9345999999999999,0.9169679370350501,0.9555376458299192,0.9358481632201459
4,7,0.9503999999999999,0.9716881810555913,0.9276066310155683,0.9491299142639698
4,8,0.9623999999999999,0.9517351943166739,0.9742018198967347,0.9628306004400567
4,9,0.9733,0.9591973465650441,0.9885433508369728,0.9736433091785635
4,10,0.8940999999999999,0.9214671332862213,0.8615817963831341,0.8904836023134439
4,11,0.9323,0.9052924481622782,0.9657073657951509,0.9344906296874751
4,12,0.9662000000000001,0.9659638961974281,0.9662800920366484,0.9661188098338988
4,13,0.9374,0.9095295945894157,0.9710213409942916,0.9392310205868377
4,14,0.9747,0.9566607244944232,0.9943312587753793,0.9751256198145135
4,15,0.874,0.8256500517257424,0.9475180585988519,0.8823546719617286
4,16,0.9691000000000001,0.960464147960964,0.978376674114689,0.9693246996412942
4,17,0.8824,0.9318593495606166,0.8247559222309823,0.8749299833071358
4,18,0.9605999999999998,0.9464412131918942,0.9764410615636561,0.9611831379131148
4,19,0.9166000000000001,0.8916011740003947,0.9482598435295191,0.9190074773144655
4,20,0.8624,0.8306438777340434,0.9102102543329453,0.8685817855522187
4,21,0.9539,0.9400667888987255,0.9694881741531182,0.9545320963904713
4,22,0.9743,0.96086447770045,0.9887594235558916,0.9746045614867602
4,23,0.93,0.9233394213168624,0.9376707468916511,0.9304467193634538
4,24,0.9042,0.9559486158400066,0.8474028373256817,0.8983872614455437
4,25,0.9671,0.9470480179180933,0.989562833774384,0.9678212345427106
4,26,0.9771000000000001,0.9707153224352021,0.9837485418738534,0.9771799275311602
4,27,0.9632000000000002,0.9558086820534036,0.9710724066825052,0.9633739551373012
4,28,0.9416,0.9196495900972085,0.9679751390500435,0.9431308260880815
4,29,0.9357000000000001,0.9114111584216105,0.9652903381883782,0.9375583686853446
4,30,0.9057000000000001,0.8862771115227328,0.9305192963456534,0.9078470284701903
4,31,0.8149000000000001,0.8788085001792366,0.7298478995885131,0.7973804364302839
5,0,0.9765,0.9631017289056251,0.991005267304995,0.9768388060056349
5,1,0.9137000000000001,0.9105928110399351,0.9171754129129726,0.9138071953588248
5,2,0.9399000000000001,0.9604047339127032,0.9177187735118728,0.9385517024866503
5,3,0.9353999999999999,0.9362337126290674,0.9340915507117655,0.9351481941159262
5,4,0.945,0.9449027623687833,0.9448205956120722,0.9448449846043575
5,5,0.9098,0.8946388635536888,0.9288927760019698,0.9113946904321191
5,6,0.8499000000000001,0.9374710648901159,0.7492472712957648,0.8328404320457479
5,7,0.9134,0.936196963005133,0.8872381811664816,0.9109215826476771
5,8,0.9605,0.9417734762580657,0.9815802020945605,0.9612611481335618
5,9,0.9125,0.8775012408822145,0.9583367825636646,0.9160920017625586
5,10,0.9355,0.9321557465636128,0.9394333880522054,0.9357599174978362
5,11,0.9737,0.9567992007156505,0.9921681879411889,0.974147225625751
5,12,0.9314,0.9539169039612911,0.9060673646277158,0.9293388536088514
5,13,0.9553999999999998,0.9477082424452746,0.9638008630874311,0.9556692168053946
5,14,0.8999,0.8667012221692516,0.9450235964890193,0.9040858805074425
5,15,0.9515,0.9486704472862778,0.9542368599953395,0.9514323300766966
5,16,0.9416,0.942891322186231,0.9400121278782217,0.9414240136119311
5,17,0.8939999999999999,0.9429459069086784,0.8383770381400921,0.8875802650957996
5,18,0.9271,0.9039423027033655,0.955589530667625,0.9289820326296876
5,19,0.764,0.8341483892848233,0.6581668904819991,0.7357361989582738
5,20,0.9516,0.9503335620211921,0.9527191526397193,0.9514990048259614
5,21,0.9766,0.966853282384007,0.9869156441765125,0.9767688565687976
5,22,0.7806,0.7404857320011918,0.863647164835579,0.7971512521713521
5,23,0.9436,0.9350423568206955,0.953170463554394,0.9440009378737277
5,24,0.9684000000000001,0.9511555835362431,0.987513826184473,0.9689812421271335
5,25,0.9173000000000002,0.890838805539939,0.9509933523488913,0.919898634497357
5,26,0.8019000000000001,0.8671652810103131,0.7127876505659172,0.7821921248889125
5,27,0.883,0.874474948747474,0.8939454283140261,0.8840739403962854
5,28,0.9738,0.9677210056122272,0.9800864262440172,0.9738619850146991
5,29,0.953,0.9410080916762056,0.9664705984810139,0.9535565892075087
5,30,0.9055,0.8937619924875898,0.9202914060585042,0.9067982229861855
5,31,0.9247,0.9476706394006073,0.8987202314111584,0.9225158712306737
6,0,0.9722999999999999,0.9638023820459122,0.9812560162930358,0.9724454135263555
6,1,0.8905,0.9326290535390624,0.8416348697829891,0.8847370376657706
6,2,0.9337,0.9290524047896035,0.9390345087909677,0.9339671439399396
6,3,0.9224,0.8931920147764429,0.9592313158881944,0.9249815153644507
6,4,0.9347,0.9371479704435328,0.9315311770536487,0.934305815789861
6,5,0.9423,0.9291159872085399,0.9574951439878726,0.9430482927288584
6,6,0.9136,0.9331147046329079,0.8910302162726751,0.9115771857305133
6,7,0.9679,0.9563002922295885,0.9804554083897473,0.9682014526959959
6,8,0.9147000000000001,0.9149207827227922,0.9138656983976345,0.9143791757804133
6,9,0.9144,0.9126957284398566,0.9161698932860265,0.9144091920912045
6,10,0.8885,0.8689444384360214,0.9147071143361204,0.8911748348645201
6,11,0.9548,0.9408398493047176,0.9702902679581529,0.9553314259975938
6,12,0.9661,0.961558791512037,0.9709167325363411,0.9662069309535996
6,13,0.9333,0.9286269569378767,0.9387685089048075,0.9336395647465159
6,14,0.9686,0.9650278853999602,0.9722718073153844,0.9686279529421974
6,15,0.9157,0.9201630105764759,0.9101085628804905,0.9150792164766075
6,16,0.8935000000000001,0.8741383723303354,0.9190300195675727,0.8959822960143787
6,17,0.9558,0.9427340248029449,0.9705476267752304,0.9564125377941002
6,18,0.9324999999999999,0.9149658044788762,0.9535902788337701,0.933842349370973
6,19,0.9645999999999999,0.9466097551687127,0.9847853520508167,0.9653157789547482
6,20,0.9091999999999999,0.9162413867564652,0.9006350083147167,0.9082717285321621
6,21,0.9664999999999999,0.9589498502378699,0.9744528780035816,0.966632854738001
6,22,0.9656999999999998,0.9497454682369628,0.9833269284304258,0.9662271764988883
6,23,0.9426,0.9292463098904303,0.9578237207071307,0.9432950188996108
6,24,0.9558,0.9469383805538516,0.9655436074173057,0.9561241722144347
6,25,0.9535,0.9376970212356334,0.9713365080029298,0.9542055891846909
6,26,0.8568999999999999,0.894330856552639,0.8091614396534395,0.8495732570115475
6,27,0.9764999999999999,0.96686674292724,0.9867511129184432,0.9767023397592405
6,28,0.8415000000000001,0.8253654846996422,0.8656938245719644,0.8449871414983173
6,29,0.9728,0.9588864259330849,0.9879201287160383,0.9731712225786513
6,30,0.9708,0.9661428133268262,0.9757323185320779,0.9709063984545429
6,31,0.9271,0.9058911972258203,0.9530671777395302,0.9288563752538174
7,0,0.9448000000000001,0.9458962428504076,0.9430792514160856,0.944471957329829
7,1,0.978,0.9672889465870119,0.9893413869321972,0.9781887927021424
7,2,0.9549999999999998,0.9508488938111478,0.9594134676987883,0.955090902704734
7,3,0.9347000000000001,0.9238506666078414,0.947105144986627,0.935313047066628
7,4,0.8785000000000001,0.9049686728966927,0.8457058912969602,0.874257382984948
7,5,0.9099,0.9062315262719893,0.9142114096322137,0.9101530686057686
7,6,0.9742,0.9732534094481631,0.9751437971507422,0.9741951570227109
7,7,0.9663999999999999,0.9643131445886237,0.9686115217279394,0.9664417144074819
7,8,0.9353999999999999,0.9229986099319856,0.9499157677286634,0.9362522907521074
7,9,0.959,0.9527105497833043,0.9657146550718612,0.9591676932138828
7,10,0.7484,0.8676889122612037,0.5853235813245976,0.6989370266987851
7,11,0.8314,0.7975562420607666,0.8877456866581619,0.84019573785073
7,12,0.8161999999999999,0.8825524163649587,0.728957838905862,0.7983495850585371
7,13,0.9288000000000001,0.9095951137156091,0.951900194950879,0.9302605448157371
7,14,0.9353000000000001,0.9341908702919482,0.9363195287162359,0.9352499340486908
7,15,0.9172,0.9302759610343587,0.9017244956933059,0.915736037227815
7,16,0.9731,0.9592339230147047,0.9881318690586927,0.9734544310387987
7,17,0.8817,0.8733830226619738,0.8925169873165549,0.8828259015173658
7,18,0.9308,0.9075526860723067,0.9592567480533741,0.9326644173030235
7,19,0.9677999999999999,0.9708748014880271,0.9646052624894154,0.9677010292432305
7,20,0.9347,0.93137196791179,0.9382532319135006,0.9347940579996437
7,21,0.8901,0.9370974342974512,0.8358144954717815,0.8835265554710963
7,22,0.9468,0.9316722782720633,0.9640893380202474,0.9475839206483133
7,23,0.9538,0.9454894167941236,0.962799853811398,0.9540521526440593
7,24,0.875,0.8459713598808731,0.9166449595491318,0.8798160717485999
7,25,0.9654999999999999,0.9669056800867863,0.9640000112912798,0.9654304105657673
7,26,0.8940000000000001,0.8770325702038125,0.9160982815420852,0.8961201197186535
7,27,0.9431999999999998,0.9275765363320797,0.9612568234080676,0.944104833563256
7,28,0.9484,0.932624977155473,0.9662347232280013,0.9491241877812893
7,29,0.8926000000000001,0.8908860140262546,0.8942702073473274,0.8925392193724246
7,30,0.9016,0.9074556145327998,0.8941737324857669,0.9006899410394935
7,31,0.885,0.8581211817481087,0.9221635893977813,0.8889537387655102
8,0,0.9717,0.9577921334175887,0.9869215758275824,0.9721171805104222
8,1,0.9361,0.9194976937117841,0.9557578788860432,0.9372657976662137
8,2,0.9557,0.9433649069495956,0.969573975959845,0.9562564152772126
8,3,0.9455,0.9447068905541866,0.9462112404510717,0.9454358643624057
8,4,0.9559000000000001,0.9487844177560592,0.9636444910744626,0.9561284466590273
8,5,0.9304,0.911906534644546,0.95259295838667,0.9317786277670359
8,6,0.9243,0.9147144611825357,0.9357760089762632,0.9251211460483406
8,7,0.9692999999999999,0.9606801591334356,0.9785193050896431,0.9695124092307683
8,8,0.9649999999999999,0.9459326818902356,0.9864489809284892,0.9657413392229641
8,9,0.9225,0.9180980885960123,0.9277226857651424,0.922803342287746
8,10,0.9779,0.9725747326042743,0.9836149886094571,0.9780563982726841
8,11,0.9359999999999999,0.9262622054134415,0.9476351314631255,0.9367772152815668
8,12,0.9664999999999999,0.9505094221195145,0.9841885514878577,0.9670468800640162
8,13,0.9321999999999999,0.9283964776648187,0.9364212132088664,0.9323840270758842
8,14,0.9737,0.9614237940459341,0.9869249586238389,0.9739971752902449
8,15,0.9775,0.9649340141150015,0.9910055145357566,0.9777951040473664
8,16,0.9804,0.9823292959236047,0.9784216197229858,0.9803571286323599
8,17,0.9038999999999999,0.895131333936148,0.9146923131138877,0.904763838129268
8,18,0.8588000000000001,0.8880366472166108,0.8211319743385286,0.8532151075533644
8,19,0.9704,0.9598394917762727,0.9817339643697792,0.9706605176718444
8,20,0.9474,0.9286324001258379,0.9692452568541569,0.9484956663146475
8,21,0.978,0.9658653994395376,0.9909638849449853,0.9782475352270966
8,22,0.9362,0.9439431632438693,0.9273262377636625,0.935551629373812
8,23,0.8529,0.8798846546856488,0.8170941521004693,0.8473057916557325
8,24,0.9293000000000001,0.9236834106404537,0.9356686211139916,0.9296208065948826
8,25,0.9465999999999999,0.97002640877773,0.9214687990043924,0.9451211347773631
8,26,0.9356,0.9797278378273389,0.8892867698850206,0.9322931378736964
8,27,0.8576,0.9038987258279155,0.79967196384629,0.8485379243996427
8,28,0.9295,0.9587137290797895,0.8976263281539525,0.9271235521962555
8,29,0.9387999999999999,0.9427169444704102,0.9343403579798648,0.9384752415839429
8,30,0.9393999999999998,0.9264623804793043,0.9545537269409132,0.9402721495706509
8,31,0.9168999999999998,0.9445939844680649,0.8856538108488629,0.9141468767497585
9,0,0.9132,0.9046878870975773,0.9238165956829516,0.9141156674926579
9,1,0.8744,0.9123528792068359,0.8282658940614095,0.8682411354771139
9,2,0.9385999999999999,0.9262758579169402,0.9532071321980039,0.9394985490387289
9,3,0.8976,0.9148234258767396,0.8763900995441759,0.8951832093147518
9,4,0.982,0.9771255835559618,0.9869521117139402,0.9820074276223743
9,5,0.9164999999999999,0.8928813388811403,0.9463789934724485,0.9188406317388701
9,6,0.9659000000000001,0.9545333951874696,0.9783810444206388,0.9662952027712611
9,7,0.9179,0.9041749487897478,0.9343838737928702,0.9190193105446578
9,8,0.9632,0.9764863406402388,0.9492137867554294,0.962645216570445
9,9,0.9490000000000001,0.931892806274548,0.9685701728151734,0.9498715014740166
9,10,0.8129,0.8367958535260751,0.776822671939321,0.8056316064137967
9,11,0.9672000000000001,0.9572951487023287,0.9779233554098268,0.9674870952321168
9,12,0.9305,0.9263728776961984,0.9351647778191357,0.9307376484029966
9,13,0.9875999999999999,0.9837539331226484,0.9915940488460995,0.9876465534629437
9,14,0.9046,0.8947605257662474,0.9169621011611598,0.9056526885768351
9,15,0.95,0.9553645655251968,0.943853224374242,0.9495610464211154
9,16,0.9691000000000001,0.9781494363278436,0.9594972425479172,0.9687199989116552
9,17,0.8624,0.8777316889309417,0.8416785658924744,0.8592382990621867
9,18,0.9225,0.9104763853398345,0.9368791785175631,0.9234845512389593
9,19,0.9539000000000002,0.9416890408933748,0.9676234903734944,0.954472182235441
