layer,head,accuracy,precision,recall,f1
0,0,0.9561999999999999,0.9493459810609874,0.9636478614114614,0.9564271104173964
0,1,0.8736,0.8619464512891213,0.8892330966847682,0.8753483192592905
0,2,0.7544000000000001,0.817482748104703,0.6550461213888787,0.7269473364099945
0,3,0.7194,0.7201326842161659,0.7173418055368547,0.718303155092494
0,4,0.7972,0.8028317111370242,0.7881248397232408,0.7950491009110219
0,5,0.9705999999999999,0.9662475081660478,0.9750487459282324,0.9706232325821051
0,6,0.9154,0.9125722222185818,0.918343674007113,0.9154164297480569
0,7,0.6195,0.6339091335981405,0.5680079518731086,0.5978736322983214
0,8,0.9546999999999999,0.9422715824043161,0.9684432004666901,0.9551684118695583
0,9,0.9494,0.9176537151947116,0.9871435988864578,0.9511046938807395
0,10,0.9697000000000001,0.9656961385329812,0.9738315004229495,0.9697312486313466
0,11,0.6469,0.6583634152339142,0.6122982556193278,0.6336759349277583
0,12,0.8989,0.9440696584495688,0.8478278923249128,0.8933228971940192
0,13,0.6301,0.6354990933541155,0.6131474245778575,0.6229770815409832
0,14,0.7007,0.7086391293928301,0.6822788481052144,0.6946845122488532
0,15,0.917,0.9245735246827061,0.9079821380704939,0.9161574874692683
0,16,0.9080999999999999,0.9156847516659417,0.8986327569140438,0.9069933248249061
0,17,0.9269999999999999,0.8979688552016551,0.9631449778567719,0.9293656621615242
0,18,0.9656,0.9611509555480892,0.970280890914297,0.9656881624683231
0,19,0.7831999999999999,0.7670715243191922,0.8123406525287947,0.7889749912806929
0,20,0.7712,0.7893948083654093,0.7396249319364102,0.7635716925499382
0,21,0.7257,0.7161417173472152,0.7468807704150938,0.7310093672702722
0,22,0.9571,0.9325264148521224,0.9853164782807837,0.9581716931394144
0,23,0.9442999999999999,0.9333415505218167,0.9568119491899939,0.9449028728042039
0,24,0.5925,0.5984155252642648,0.5637603580511323,0.579128334601059
0,25,0.9711000000000001,0.9667087979608434,0.975721918430105,0.9711870142365534
0,26,0.953,0.9277621604907654,0.9822476587675343,0.9542195669572507
0,27,0.7021,0.7194880872135169,0.6640782100692849,0.6898401202654558
0,28,0.9033,0.8605140269983489,0.9621011820741485,0.9084325303569092
0,29,0.9418,0.9316654655090794,0.9532889510902619,0.9422874007751174
0,30,0.8333999999999999,0.835962350575026,0.8302843051848404,0.8326258622831629
0,31,0.7463,0.7451811256083152,0.7475825187603722,0.746270059084029
