layer,head,accuracy,precision,recall,f1
0,0,0.9542999999999999,0.9452370527625803,0.9642478226765088,0.9546332540059563
0,1,0.8756999999999999,0.8602674135623619,0.8966388330788778,0.8780500487865875
0,2,0.7374,0.7839688731004836,0.6554330218851216,0.7136082278587443
0,3,0.7078,0.7100780736585384,0.7017535495320534,0.7054863576091716
0,4,0.8045,0.8130869577941576,0.790594437989929,0.8014831861458479
0,5,0.9705999999999999,0.9662475081660478,0.9750487459282324,0.9706232325821051
0,6,0.916,0.9136558835642195,0.9183374091057518,0.9159703092850435
0,7,0.6296999999999999,0.6432924167552488,0.5827867359028921,0.6106261855575916
0,8,0.9561,0.9449038523199403,0.9684432004666901,0.9565109873028949
0,9,0.9494,0.9176537151947116,0.9871435988864578,0.9511046938807395
0,10,0.9701000000000001,0.9662466797001837,0.9740294516377457,0.970109442283149
0,11,0.6471,0.6557499315851514,0.6204280898645207,0.6368366832538376
0,12,0.8993,0.9423825231712529,0.8504954728811528,0.8940184095563068
0,13,0.6673,0.6756107254131266,0.6452843240712267,0.6593451776895023
0,14,0.6977,0.6980322671573496,0.6970896329351163,0.6970958759535462
0,15,0.9192,0.9262417015004226,0.9107682318847011,0.9184194162467463
0,16,0.8939,0.9137057972383198,0.8696500825708577,0.8910644125473116
0,17,0.9256,0.8973806507220814,0.960663858242673,0.9278970037368761
0,18,0.967,0.9621765200036652,0.9720667864406638,0.9670889418710017
0,19,0.7797000000000001,0.7691062842085605,0.798349866809677,0.783375034878538
0,20,0.7771999999999999,0.7955549196582073,0.7460801312504778,0.7698828017446397
0,21,0.7623,0.7553212075663354,0.7750978309499306,0.7649452087303924
0,22,0.9623000000000002,0.9414970308937021,0.9857219822834145,0.9630880363322951
0,23,0.9323,0.9276075040133808,0.9375780643323701,0.9325472992042109
0,24,0.5970000000000001,0.60339606716809,0.5675912113920476,0.5838333374429746
0,25,0.9705,0.9668369607524225,0.9743041603959546,0.9705463509577065
0,26,0.9503999999999999,0.9228875670148786,0.9826803995806968,0.9518389030434445
0,27,0.7084999999999999,0.7234039076194236,0.6760465724632142,0.6982220214141845
0,28,0.8996999999999999,0.8567802778971318,0.9592680324433654,0.905072992808444
0,29,0.9430999999999999,0.9354036190054164,0.9517423073835355,0.9434413564052685
0,30,0.8228,0.8248233082182566,0.8204109935511109,0.8221135159533283
0,31,0.7145,0.7147132483936606,0.7132843028447722,0.7138020934858994
1,0,0.9717,0.9589383044774827,0.9855377783362613,0.9720473835878962
1,1,0.9251000000000001,0.9603584183630323,0.8864755312494232,0.921917073976777
1,2,0.9609,0.9480776340115018,0.9751708512923065,0.9614128592494874
1,3,0.8898999999999999,0.8929591771529013,0.8859353651651952,0.8893541851401061
1,4,0.9171999999999999,0.9031530364328942,0.9342677815435655,0.9184060810292258
1,5,0.8657,0.8563144098995344,0.8783200951078646,0.8670835340216574
1,6,0.9574,0.9711255790027877,0.9427423308800215,0.9567095416034507
1,7,0.9673999999999999,0.9553574932961613,0.9804927036389891,0.9677538549805664
1,8,0.9496,0.9492557871303161,0.9495192572040427,0.9493678120689546
1,9,0.8033000000000001,0.7951709102634053,0.8161173886304717,0.8054518113660778
1,10,0.9725000000000001,0.9660705860755024,0.9793210993097082,0.9726428094461171
1,11,0.8491,0.8602986799212753,0.8331761803662439,0.8464116299725453
1,12,0.8411,0.8439652665310889,0.8360449781643112,0.8399386056146134
1,13,0.9347000000000001,0.9355777325724579,0.9336986624579982,0.9345947403750824
1,14,0.9399,0.9297822242183829,0.9514438413426518,0.9404288994444132
1,15,0.8547,0.9316414126922954,0.7651685575764553,0.8402020711097669
1,16,0.9344000000000001,0.9704620924651264,0.8957157888603231,0.9315828242573223
1,17,0.9195,0.9367543012073668,0.8995700501466487,0.9177635494319712
1,18,0.9205,0.9805317464036746,0.8578159269307368,0.9150578521761856
1,19,0.9713,0.9657736066148104,0.9771471002467005,0.9714149894954295
1,20,0.8709,0.8626213327886522,0.8819452681914257,0.8721384762603425
1,21,0.8634999999999999,0.8557159448356648,0.8743478015850125,0.8648277092937743
1,22,0.9753000000000001,0.9645999045222435,0.986727770307391,0.9755283459745382
1,23,0.9715999999999999,0.9659629085785889,0.9774687519094007,0.9716743567719295
1,24,0.8821,0.9706587490354508,0.7878512393522782,0.869730555660646
1,25,0.9722000000000002,0.9639643133451539,0.9808190019055238,0.9723036258236453
1,26,0.9716999999999999,0.9681791646081648,0.9753121052225383,0.9717285319841837
1,27,0.9677999999999999,0.9662771267825458,0.9692556168828961,0.9677526953525625
1,28,0.7626999999999999,0.9413819105567958,0.5598958954296367,0.7019755941838308
1,29,0.9511,0.9555419842518805,0.9461457548073721,0.9507879697934888
1,30,0.9325000000000001,0.9443522634582378,0.9189031062726757,0.9314435692759666
1,31,0.9337,0.942933193704033,0.9231420315025307,0.9328913197332923
2,0,0.9471,0.9687602641555955,0.9239002426523358,0.9457898831455248
2,1,0.9364000000000001,0.9370077785062808,0.935622382775683,0.9362994916221977
2,2,0.8732000000000001,0.9714267291964905,0.7687563997378202,0.8582610153863636
2,3,0.9643,0.9612470916752145,0.9674470644046954,0.9643306690207908
2,4,0.9721,0.9611215317280555,0.9839357283701633,0.9723896174409831
2,5,0.9518999999999999,0.9661327565024053,0.9366492266473383,0.9511084375755813
2,6,0.8158999999999998,0.8939256385796316,0.7165907627686587,0.7953478965203244
2,7,0.9707000000000001,0.9560294615597597,0.9866609538169365,0.9710904400256597
2,8,0.9065999999999999,0.9703186611117836,0.8387844473768163,0.8996962451698092
2,9,0.9030999999999999,0.9214682377395516,0.8812620307297478,0.9008469581372445
2,10,0.9702999999999999,0.9615561869911954,0.9796229085433644,0.9704886637966927
2,11,0.9717,0.9665237647267135,0.9771259648271988,0.9717903528145969
2,12,0.9202999999999999,0.973936171019972,0.8634107694635583,0.9152884732563814
2,13,0.8958999999999999,0.9715950445499105,0.8154840874590434,0.8866896700034976
2,14,0.9721,0.961478991121715,0.9835020486890638,0.9723545882801743
2,15,0.9576,0.9608481551884154,0.953872861968099,0.9573397387149891
2,16,0.9619,0.9683047476466713,0.9547732218389214,0.9614713377214918
2,17,0.907,0.9666965230176545,0.8429507628388846,0.9005427897454176
2,18,0.9315000000000001,0.9124093370624055,0.954633976137606,0.9329955198240327
2,19,0.8690999999999999,0.9667343016996742,0.7641994565511412,0.8535625411480476
2,20,0.9498,0.9630461696416758,0.9353797900200014,0.9490066803929267
2,21,0.8836999999999999,0.886907519101482,0.8792891479213771,0.8830696989168054
2,22,0.9391000000000002,0.944261697427029,0.9332898571538305,0.9387005796296519
2,23,0.9399,0.9418910780103447,0.9374178878916986,0.9396204089988988
2,24,0.9581,0.9463739860080846,0.9707695220277495,0.9584098424080125
2,25,0.9065999999999999,0.8960162836503416,0.9196864707390053,0.9076732837267443
2,26,0.8996999999999999,0.9247773683773577,0.8700833265525543,0.8965522767671459
2,27,0.975,0.9634979581080076,0.9872302954751959,0.9752074463058819
