layer,head,accuracy,precision,recall,f1
0,0,0.9682999999999999,0.9700394522313524,0.9662139524250127,0.9681134967243933
0,1,0.9052,0.8880466828463115,0.9268821622449541,0.907044196400532
0,2,0.8058,0.8974165370096638,0.6903287906946474,0.7802072219168682
0,3,0.7033999999999999,0.7083085076106433,0.6916755965767566,0.6994433692805799
0,4,0.8038000000000001,0.815709927676493,0.7857578233108985,0.7998969575960987
0,5,0.9705,0.9662416958733251,0.9748542886658157,0.9705242958240158
0,6,0.9364000000000001,0.9389325953006018,0.9333567616290793,0.9361047120502357
0,7,0.5615,0.5572281438683195,0.6021559052655434,0.5779101696711874
0,8,0.9689,0.9700718850328343,0.9674167233948909,0.9687334524162463
0,9,0.9494,0.9176537151947116,0.9871435988864578,0.9511046938807395
0,10,0.9712999999999999,0.9694751100798331,0.973037492636578,0.971246009268147
0,11,0.6614,0.6653457511269968,0.6533819394038054,0.6579312641491067
0,12,0.9163,0.9364056455857573,0.8930155868029018,0.9141643877750022
0,13,0.5671999999999999,0.5686466660733389,0.5760352507848963,0.5695351661459475
0,14,0.7532000000000001,0.7501239235951035,0.7598295924641392,0.7544384674339522
0,15,0.908,0.9141871986100301,0.9002920599789149,0.9071594038696865
0,16,0.9275,0.915628734664003,0.9415813530112457,0.9283823328987599
0,17,0.9129999999999999,0.9106549021524237,0.9154896805251871,0.9130522806007979
0,18,0.9684000000000001,0.9678161581934557,0.9688625691227157,0.9683315225581787
0,19,0.8007,0.789095498074664,0.8201332909146626,0.8041563616140353
0,20,0.6845,0.6808823366756215,0.6947220715787601,0.6872618300129697
0,21,0.9292999999999999,0.9374594473534545,0.9198085995260795,0.9285047378633277
0,22,0.9486000000000001,0.9164308266819056,0.9869354823411924,0.9503544188301538
0,23,0.9571,0.959390299596308,0.9545636298125144,0.9569501561975777
0,24,0.5622,0.5600785667890735,0.5852542254568168,0.5712392666836112
0,25,0.9704,0.9664723347909867,0.9745292310355305,0.9704745630481109
0,26,0.9668000000000001,0.9562447984190541,0.9780583424734326,0.9670258322247264
0,27,0.5912,0.58302162404967,0.6448498947323743,0.6111511481125671
0,28,0.9400999999999999,0.9664510559478711,0.9116888278682044,0.938248861001715
0,29,0.9509000000000001,0.9377019289706787,0.9656977261141438,0.9514508433663955
0,30,0.8018000000000001,0.8124742329450214,0.7853784830055736,0.7982110741398165
0,31,0.6937999999999999,0.6830793053432576,0.7224202017456606,0.70194092668445
1,0,0.9741,0.9650185115056615,0.9837383827730131,0.9742819259301105
1,1,0.9683999999999999,0.969652905060037,0.9668306267832385,0.9682336318073113
1,2,0.9652999999999998,0.9530555628947445,0.9787562659973024,0.9657243460186707
1,3,0.8735999999999999,0.8822465576494588,0.8618442228608487,0.8718822965528081
1,4,0.9115,0.9045874419893633,0.9199243349801357,0.9121092038572552
1,5,0.8267,0.8209690435511169,0.8346766465328619,0.8277412247529202
1,6,0.9680000000000002,0.9700244330306779,0.9656411504796955,0.9678228386681857
1,7,0.9718,0.9580619232646794,0.9867244398653424,0.9721684160134559
1,8,0.9216999999999999,0.9244168596665734,0.9178282145985106,0.9210832294243915
1,9,0.8611000000000001,0.8661303745094002,0.8537716394153296,0.8598313203175121
1,10,0.9742000000000001,0.9676135827235163,0.9811059909365941,0.9743068205451252
1,11,0.9410000000000001,0.9284112644967568,0.955755956781551,0.9418266448864692
1,12,0.8265,0.8341976054307821,0.8144209606505989,0.8241032838767286
1,13,0.9503,0.9590760412506351,0.9404232088972846,0.9496548962741015
1,14,0.9489000000000001,0.9381376943679337,0.9607886505748523,0.9493009088820994
1,15,0.9560000000000001,0.9586745951335093,0.9526999138630563,0.95564849865773
1,16,0.9586,0.9705858845922416,0.945586540623285,0.9579056749422825
1,17,0.9460000000000001,0.9562946915415942,0.9345232813958182,0.9452805963050043
1,18,0.9679,0.9694257071774638,0.9660058777399627,0.9677021268003896
1,19,0.9734999999999999,0.9646355789741712,0.9829342390571298,0.9736887910053957
1,20,0.8493999999999999,0.8656292673736117,0.8268696654642316,0.8457363504783967
1,21,0.8413999999999999,0.8390416757307658,0.8447588338269376,0.8417645978763408
1,22,0.9757999999999999,0.9668404056666853,0.9853366853263413,0.9759920306269974
1,23,0.9724999999999999,0.9658588904300686,0.9795007760040436,0.9726267847014878
1,24,0.9635,0.969145342690241,0.9571880906852618,0.9631171103705902
1,25,0.9724999999999999,0.9661859165358235,0.9790497020865834,0.97256817564004
1,26,0.9692999999999999,0.9687626985156488,0.9696358878612645,0.9691938810879357
1,27,0.9686999999999999,0.9655933552562577,0.9718217016668188,0.9686818564167542
1,28,0.9410999999999999,0.946626461546359,0.9346156619351152,0.9405514142553709
1,29,0.9638,0.9652495456029728,0.9620114317484696,0.9636194928418569
1,30,0.9539,0.9666381479068805,0.9400063028584649,0.9531264150993219
1,31,0.9330999999999999,0.9409763935418501,0.9239453661954864,0.9323518592302799
2,0,0.9535,0.9638043739101236,0.9422719868196759,0.9529064869756118
2,1,0.9622999999999999,0.9561937172680908,0.9688664339212375,0.9624567118952922
2,2,0.8743000000000001,0.9466138886479014,0.7929107614407294,0.8629568970206604
2,3,0.9696,0.9591358710147333,0.9809739507915587,0.9699305723612364
2,4,0.9743999999999999,0.9637750778448305,0.9857113768108953,0.9746137114731692
2,5,0.9635999999999999,0.9662019436844966,0.9607465287482688,0.963431425751403
2,6,0.7571000000000001,0.7601911357245721,0.7507603776289916,0.7551710845514777
2,7,0.9738000000000001,0.962824250303137,0.9854922964062262,0.9740196896598794
2,8,0.9431,0.9670171075075565,0.9170749269359305,0.9413644156112599
2,9,0.8911000000000001,0.9111518742990915,0.8670193238952167,0.888422310291775
2,10,0.9724999999999999,0.9643741033566282,0.9810344415711041,0.97262279479762
2,11,0.9739000000000001,0.9676205978732242,0.9805143086014982,0.9740146787716275
2,12,0.9403,0.9720225840099042,0.9064256115520374,0.9379984071331263
2,13,0.9194000000000001,0.9724558365562753,0.8632900770440133,0.9145576238185773
2,14,0.9743,0.962727229589707,0.9866996008585509,0.9745566807211846
2,15,0.969,0.965579749874184,0.9725144775618675,0.9690239410255905
2,16,0.9663,0.9652380288074802,0.967348230065441,0.9662780506736999
2,17,0.9356,0.9633216110303364,0.9055798929074645,0.9335355103457171
2,18,0.95,0.9388146355357684,0.962786764693892,0.9506332715434767
2,19,0.9396000000000001,0.9668044363857005,0.9103338309137972,0.9376883050382057
2,20,0.9545,0.961761807963358,0.9465058942657196,0.9540589909453214
2,21,0.9465,0.9550421532182456,0.9368354385004354,0.9458468229657286
2,22,0.9507999999999999,0.9608312811963717,0.9398794880511294,0.9502057701278869
2,23,0.9612,0.9539095890435471,0.9691778512180065,0.9614709882256507
2,24,0.9635999999999999,0.9515135797338459,0.9766499156102304,0.9639110457793334
2,25,0.9538,0.9471877250965528,0.9609726115556081,0.9540019727236618
2,26,0.8686,0.9229687069304617,0.8041634145431139,0.859362359739109
2,27,0.9751,0.9642658456351609,0.9866202924950599,0.9753002309310983
2,28,0.9632,0.9507952420800672,0.9766027820511816,0.9635216211738099
2,29,0.9789,0.9704813563530449,0.9876639290317162,0.9789894444821019
2,30,0.9466000000000001,0.9339691948268894,0.9608563917603925,0.9472083687707574
2,31,0.9672000000000001,0.9642800926868029,0.9702872963727385,0.967244385919334
3,0,0.9493,0.9462896000958047,0.9526434517887246,0.9494297044335378
3,1,0.9648,0.9547527016123591,0.9757352424973977,0.9651234622315681
3,2,0.9524000000000001,0.9661769240081164,0.9372929575108417,0.9514792647649939
3,3,0.969,0.9548811264922449,0.9843614037877652,0.9693962011273207
3,4,0.9561999999999999,0.9617254895660332,0.9499833092611689,0.9558056056073033
3,5,0.9553,0.9324655224568458,0.9818475772384616,0.9564683519654013
3,6,0.9261000000000001,0.958706779207874,0.8900612540257485,0.9230361592769448
3,7,0.8925000000000001,0.9056804308495787,0.8760179485639904,0.8905346233868109
3,8,0.9683999999999999,0.9657470392925559,0.9711579587412935,0.968441114609661
3,9,0.9048999999999999,0.8913824760949256,0.9220861148712961,0.9064445396130612
3,10,0.8949999999999999,0.8915985421987986,0.8992075564583694,0.895328632162745
3,11,0.9639,0.9499741080896514,0.9793478184873884,0.9644192337603773
3,12,0.9490999999999999,0.9596573707869018,0.9375571930853296,0.9484670923805381
3,13,0.9631000000000001,0.9583603657108967,0.9681623923250842,0.9632308034400798
3,14,0.9671999999999998,0.9629196784664185,0.9717096233018442,0.9672907694824776
3,15,0.9383999999999999,0.9573741550569018,0.9172907507104945,0.9368850723452656
3,16,0.9673999999999999,0.9556770211644026,0.9801513166906753,0.9677515819290292
3,17,0.9379000000000002,0.9430445726513881,0.932035240916137,0.9374883234889116
3,18,0.9654,0.9543443402431098,0.9775110626433545,0.9657711576225149
3,19,0.9708,0.9670265109028708,0.9746789944028537,0.9708201971545183
3,20,0.9523999999999999,0.9690438885063294,0.9343135695796656,0.9513499116544214
3,21,0.9283000000000001,0.9576187964264726,0.8959391722402993,0.9257431999267002
3,22,0.9723,0.9619008085369665,0.9835067624054632,0.9725698771217202
3,23,0.9553,0.9656378485875035,0.9440392222210825,0.9546874504472939
3,24,0.9381999999999999,0.9377772833282508,0.9384027545313629,0.9380676547934199
3,25,0.9513999999999999,0.9392223050387859,0.9650454228940472,0.9519429377902737
3,26,0.9489000000000001,0.9696832385563834,0.9266480537897707,0.9476578709869518
3,27,0.8681000000000001,0.9524570100927182,0.7742088659771897,0.8540259876197138
3,28,0.9686,0.9519406668313701,0.9869212236703268,0.9691078475375499
3,29,0.9561,0.9380236273415589,0.9765694714635957,0.9569069000747362
3,30,0.9659000000000001,0.9586588260479292,0.9736820074577162,0.9660993750836745
3,31,0.9422,0.9764840051468664,0.9060110805616265,0.9399111396703947
4,0,0.9621999999999999,0.9710065826053602,0.952766885847231,0.9617967530261751
4,1,0.9562999999999999,0.9520161583352509,0.960770413984077,0.9563579489607343
4,2,0.933,0.924148367226276,0.9433078411870026,0.9336114139962624
4,3,0.8551,0.8660405611682233,0.839793867548627,0.8525386972813654
4,4,0.9749000000000001,0.9660574736923359,0.9842797247223924,0.9750736037202076
4,5,0.943,0.9542444168430844,0.9303645152343138,0.9421388116635196
4,6,0.9288000000000001,0.9020892368116605,0.9619539905148894,0.9310572419577406
4,7,0.9574999999999999,0.9722580383446788,0.9416471215162933,0.9567019507607333
4,8,0.9663,0.9517031712664561,0.9823366442296002,0.9667696629397471
4,9,0.9710000000000001,0.9547616445802684,0.9887928160769262,0.9714698844149605
4,10,0.9092,0.9514676791744734,0.8623136405125148,0.9046546704331421
4,11,0.9452,0.9227186232704898,0.971901500739586,0.9466008637867167
4,12,0.9675,0.9675447749140043,0.9672712063843024,0.967402015588284
4,13,0.9551000000000001,0.930645422424513,0.9832298150894815,0.956194640037087
4,14,0.9741,0.9560914623077075,0.9937595843449236,0.9745543142939571
4,15,0.8953000000000001,0.8447592277061104,0.9681859091585384,0.9022508713577443
4,16,0.9702000000000002,0.9588905755997269,0.982323232177513,0.9704616021315232
4,17,0.9022,0.9447675914852697,0.8540919935715368,0.8970973838732474
4,18,0.9613999999999999,0.945060255771357,0.9796239505508139,0.9620136814249186
4,19,0.9319,0.9093799340198455,0.9591364556117086,0.9335831292238745
4,20,0.8882999999999999,0.8632432792134601,0.9227290558058939,0.891900605528708
4,21,0.9609,0.9464694291417036,0.9768278464611289,0.9613999901679608
4,22,0.9742,0.961597842407967,0.9877600721385011,0.9744993647116941
4,23,0.9451,0.9358610871052692,0.9557570783918438,0.9456927547021531
4,24,0.9005000000000001,0.9583651010836937,0.8373126669431514,0.8937378232854751
4,25,0.9711000000000001,0.952367630129371,0.9917721618962156,0.9716579646015242
4,26,0.9791000000000001,0.9732660781137241,0.9851432444226631,0.9791552543919098
4,27,0.9667,0.9573244081969629,0.9767539226415103,0.9669276810134395
4,28,0.9428000000000001,0.9169955053944042,0.9737981582174695,0.9444910504097768
4,29,0.9288000000000001,0.8983944308743211,0.9668680416439427,0.9313405928202272
4,30,0.9109,0.8873838164301704,0.9409889872338679,0.9133577988329422
4,31,0.8489000000000001,0.8831535037809504,0.8035942618568391,0.8414556069773482
5,0,0.9788,0.9674241963077946,0.9909908388941693,0.9790520486270481
5,1,0.9419000000000001,0.9356778628500149,0.9488177475210031,0.942159846659585
5,2,0.9350999999999999,0.9593307459663333,0.9085618189813836,0.9332406661810693
5,3,0.9557,0.9424711330538559,0.9705683181221524,0.956302861870953
5,4,0.9395,0.9444455614027438,0.9337687483628752,0.9390663831473776
5,5,0.9296,0.9162632935798637,0.9455242935063095,0.9306424565902274
5,6,0.8779999999999999,0.9488358009651968,0.7989510211668409,0.8674383707490089
5,7,0.9426,0.9540190825544386,0.9299553851775627,0.9418194185320562
5,8,0.9593,0.9404055762638196,0.980623601553174,0.9600817666813029
5,9,0.9257,0.8997720436858823,0.9578039249147834,0.9278581467639379
5,10,0.9381999999999999,0.9262494966640853,0.9523007150954659,0.9390830254373276
5,11,0.9719,0.9534748750745834,0.9921507874751991,0.9724155375698527
5,12,0.931,0.9613543588889412,0.897617732006931,0.9283454186126339
5,13,0.9583999999999999,0.9506089224807827,0.9667583125541352,0.958599663768274
5,14,0.9148,0.8836124298929331,0.9555333304041287,0.9181211896907137
5,15,0.9551999999999999,0.9528418653704562,0.9574746208853953,0.9551436850288344
5,16,0.9549999999999998,0.9532422194248744,0.9567296393703817,0.9549690593327217
5,17,0.9054,0.9514154608425537,0.8541687154843629,0.9001416208108137
5,18,0.923,0.8980657770661502,0.9541954968027401,0.925201692863225
5,19,0.8251,0.858796449168279,0.7774423014508056,0.8160360261226465
5,20,0.9574999999999999,0.9532690859687045,0.9620249399802449,0.9576107530580547
5,21,0.9758000000000001,0.9645969651125341,0.98772351038665,0.9760135078478642
5,22,0.8174000000000001,0.7801280176886058,0.8834884639969633,0.8285164150854518
5,23,0.9490000000000001,0.9378262842021978,0.9615818287265128,0.9495482467111442
5,24,0.9666,0.9480261277420885,0.9873127331745529,0.9672553196446868
5,25,0.9308,0.9062934491199007,0.960870440796348,0.9327559871696456
5,26,0.9001999999999999,0.9360008760156944,0.8588805194565257,0.8957368456294963
5,27,0.9196,0.9111593600410733,0.9297891519015369,0.9203688420974168
5,28,0.9752000000000001,0.9667505211357904,0.9840647314284912,0.9753217940501692
5,29,0.9571,0.9478665559438779,0.9673029934009026,0.9574768548501403
5,30,0.9269000000000001,0.914285891493836,0.941935183742752,0.9278786667419464
5,31,0.9137000000000001,0.9517900387798841,0.8711373775108114,0.9096681713414186
6,0,0.9731,0.9634592065670159,0.9832949883974873,0.9732725673603536
6,1,0.884,0.942319840715237,0.8178686781437804,0.8756525370834083
6,2,0.9376,0.9334047794628011,0.9422600023371697,0.9377908809573722
6,3,0.9215,0.8895045838872399,0.9621447422247515,0.9243800190549694
6,4,0.9409000000000001,0.9436230560804804,0.9376982705762229,0.9406394616528866
6,5,0.9465,0.9329090129016242,0.9621128562596144,0.9472648293760993
6,6,0.9195,0.9473822248710922,0.888305868966454,0.9168125228213745
6,7,0.9683999999999999,0.9566362536388355,0.9810721602387742,0.9686845265736531
6,8,0.9097,0.9025214230280743,0.9181072287670407,0.9101910073250996
6,9,0.917,0.9120951423561834,0.9231653262443901,0.9175151099181855
6,10,0.8879999999999999,0.8662494884331873,0.9169474394319778,0.8908545287371691
6,11,0.9593999999999999,0.9430621129592087,0.9776890059535106,0.9600455443449041
6,12,0.967,0.9614390884552868,0.9729231128656293,0.9671324563697361
6,13,0.9347,0.9306644759049207,0.9393018822212754,0.9349576326202174
6,14,0.9705,0.9675451439017893,0.9734404248311446,0.9704725717167649
6,15,0.9136000000000001,0.9196827726123257,0.9059039673658089,0.9127220265451289
6,16,0.9547000000000001,0.9480704581735161,0.9617484602420057,0.9548329632101737
6,17,0.952,0.9400862557889482,0.9652419071140619,0.9524798173110325
6,18,0.9313,0.9129134678220838,0.9535707823323527,0.9327860203087173
6,19,0.9612999999999999,0.9420617647999171,0.9829887274365502,0.9620818578807299
6,20,0.9354000000000001,0.9409297236860906,0.9289190784606,0.9348626836717029
6,21,0.9673999999999999,0.960547439310678,0.9747878808778008,0.9676084177496094
6,22,0.9617999999999999,0.9436652948489529,0.9820860636823714,0.9624644156782693
6,23,0.9486000000000001,0.9339180433182139,0.9655699218318505,0.94943759595842
6,24,0.962,0.9540174451730822,0.9707799662156484,0.9623012274885367
6,25,0.9682000000000001,0.9603614921786303,0.9764406399322096,0.9683281363502699
6,26,0.8465999999999999,0.8947472716470664,0.7851169803118935,0.8363267317259278
6,27,0.9763,0.9657787145065123,0.9875315075465456,0.9765256993150524
6,28,0.8529,0.8429106847338733,0.8672621258558542,0.8548179396663349
6,29,0.9733,0.9611978990919793,0.9863361184988972,0.9735828798783238
6,30,0.9714,0.9650736315175328,0.9780867928183555,0.9715283518684033
6,31,0.9164999999999999,0.8943610815417269,0.9441255457069472,0.9185563918722943
7,0,0.9437999999999999,0.9482866946990214,0.9384895032226375,0.9433337417960308
7,1,0.977,0.9654148359732411,0.989361681962549,0.9772409236541538
7,2,0.9583999999999999,0.9531684366643329,0.9639860330043796,0.9584985961654537
7,3,0.9307000000000001,0.9268184429525015,0.9347989875634333,0.9307699803095156
7,4,0.8782,0.899877470121659,0.8509047811667971,0.8745653958076126
7,5,0.9174,0.9128450053759509,0.9227927619408351,0.9177658929434029
7,6,0.9727,0.9721548217910876,0.9730579992671051,0.9725934162565795
7,7,0.9682999999999999,0.9640851756325464,0.9727613819574993,0.9683895734473253
7,8,0.9347,0.9205489835906915,0.9513173113955229,0.9356736668866142
7,9,0.9635999999999999,0.9566158738635389,0.9711042879135287,0.963783154418633
7,10,0.8077,0.8781362741752261,0.7142554328265427,0.7875817439559054
7,11,0.8454,0.8122462677989495,0.8975110865671393,0.8527507327280194
7,12,0.7978000000000001,0.869430827524581,0.7004019776552981,0.7756694540743019
7,13,0.9179999999999999,0.8938501784419504,0.9482864034612322,0.9202499227250953
7,14,0.9423,0.9315041118194631,0.954429504669182,0.9428261508498752
7,15,0.9317999999999997,0.9401696965470141,0.9221904548924214,0.9310866221320075
