layer,head,accuracy,precision,recall,f1
0,0,0.49709999999999993,0.49780228952788336,0.47502468996106995,0.48536150919823473
0,1,0.505,0.5059557163679945,0.4605915467717299,0.48169367328180546
0,2,0.5090999999999999,0.5096802640550403,0.4957131431193257,0.5017959182972904
0,3,0.5071999999999999,0.5083963629737895,0.46614555822816905,0.4859077727897648
0,4,0.5130999999999999,0.5134088015198398,0.5015400229970733,0.5069862271243302
0,5,0.509,0.50949843987274,0.49854557997262267,0.5031109481301204
0,6,0.5051,0.5056161270173993,0.4898498574371398,0.4971509702521712
0,7,0.5037,0.5038000752159337,0.49327119548778803,0.49797189732651337
0,8,0.5063000000000001,0.5070683024186934,0.48335716335049594,0.49450219161971065
0,9,0.506,0.5063618865606955,0.5184388608186775,0.5116604248295307
0,10,0.5072,0.5077026733087604,0.4909600911266068,0.49889507186851
0,11,0.5107999999999999,0.5113783499189711,0.4910195056673379,0.5004560342245735
0,12,0.5043,0.5048088177739982,0.5328222826036237,0.5178112910664302
0,13,0.5024,0.502752137206976,0.48596963565964846,0.4938744662237541
0,14,0.5123999999999999,0.5131804275596819,0.5022149350134482,0.5071027510740258
0,15,0.512,0.5132576502270935,0.48679963215023003,0.49920530083773273
0,16,0.5067999999999999,0.5071070621708496,0.49261248739034064,0.4993620922569673
0,17,0.5063,0.506701709370861,0.5054819641175545,0.5053946678853821
0,18,0.5137,0.5147669517495771,0.49030407077185084,0.501933332266036
0,19,0.5144,0.5162431091177802,0.46922016036656283,0.4911688433025045
0,20,0.5113999999999999,0.51200511422193,0.503998723323945,0.507377278706513
0,21,0.5074,0.5074799073111682,0.4954327507468081,0.5008767482829594
0,22,0.5073,0.5075285857012439,0.5059342676500513,0.5064552314142234
0,23,0.5045999999999999,0.5049746325749916,0.4961449436151251,0.5001616336880462
0,24,0.5074,0.5080241106036383,0.49207382158840096,0.4993241224602166
0,25,0.5037,0.5042550028305545,0.4892658960789471,0.4962353878719211
0,26,0.5102,0.5105194678636754,0.5051420995752884,0.5075870322202857
0,27,0.5067,0.507538797197747,0.4850395663313735,0.49544326304977304
0,28,0.5071,0.5075935750130407,0.4840701570385308,0.49504055366647065
0,29,0.5072,0.5077812193230703,0.47348947287831533,0.4899404503314811
0,30,0.5065,0.5071271197276171,0.4940740339691482,0.5002581046109922
0,31,0.5052,0.5061257329138225,0.4959948016665834,0.5001890010686375
1,0,0.5065999999999999,0.5072010980013069,0.47599209349265603,0.49076734774451636
1,1,0.4981999999999999,0.4985361582201294,0.48376590290843763,0.4906890291777983
1,2,0.5029999999999999,0.5032633476892654,0.47562867070988546,0.4886539545229825
1,3,0.5071,0.5077989301492263,0.4853683693198697,0.4958934745876076
1,4,0.508,0.508248138037226,0.49432347188447706,0.5010553056933424
1,5,0.5149,0.5165439271083592,0.4847232800250466,0.4997469350924081
1,6,0.5101000000000001,0.5120408810027505,0.44854231536025324,0.47775050238885647
1,7,0.5054,0.5058312839315758,0.4679741382028161,0.48579608962561116
1,8,0.5044000000000001,0.5047531303444996,0.453304098305426,0.4771713166598617
1,9,0.5064,0.5069498147608433,0.4805110910810041,0.4931550497725084
1,10,0.5067999999999999,0.5073235072471063,0.4923170825369393,0.4993546719657379
1,11,0.5126,0.5130989092341298,0.49849295802093146,0.5056046280237313
1,12,0.5119,0.5129020016752145,0.476913859271601,0.4939537820140935
1,13,0.511,0.5114434446942471,0.49312919226944124,0.5019963292600705
1,14,0.5065999999999999,0.507135513582395,0.48416159304629813,0.49508023473854956
1,15,0.5106999999999999,0.5124993770812779,0.4465858857800494,0.4769883175504848
1,16,0.5090999999999999,0.5098830229022866,0.4743451823228789,0.49114706071840886
1,17,0.5051,0.505377549633754,0.49096626934897847,0.4978502169973763
1,18,0.5116999999999999,0.5124885126307949,0.4998706340013982,0.5058765217427724
1,19,0.508,0.5093746350267314,0.443728704818181,0.47400240273443356
1,20,0.5105,0.5110885297174393,0.4845045440705812,0.49733463576796827
1,21,0.5088,0.5091644894488031,0.4857494995741588,0.4968495504619369
1,22,0.5125,0.5141802791990978,0.4565413707022362,0.4835036496843232
1,23,0.5046999999999999,0.505246287432706,0.49485144854035246,0.4998070639949114
1,24,0.5099,0.5109060864185488,0.4685813379464839,0.4885174556606479
1,25,0.5143000000000001,0.5151961467665915,0.5022795230668353,0.5084198178092828
1,26,0.5151000000000001,0.5151753325160204,0.510962965987597,0.5129001433540508
