layer,head,accuracy,precision,recall,f1
0,0,0.49470000000000003,0.5172053041827773,0.35681367911751527,0.3565918381168819
0,1,0.4957,0.5360058575024255,0.3333367428644261,0.31963076987478634
0,2,0.49749999999999994,0.5167097358565783,0.3700906021846804,0.37818407445639934
0,3,0.5006999999999999,0.5073855756351117,0.44653433254556435,0.46576336614681135
0,4,0.49759999999999993,0.5298608894925242,0.30319350657333544,0.28865633879159525
0,5,0.496,0.19742054027314007,0.3006949253292316,0.23220888770675888
0,6,0.4962,0.5467390121379694,0.29468343369142225,0.2587581274900736
0,7,0.4984,0.5055541423196737,0.30342744794938836,0.28585694615244917
0,8,0.4963,0.49582589239722086,0.44884168616831743,0.46787811189940853
0,9,0.5012,0.5021845210060544,0.46376778221259835,0.47949468691486086
0,10,0.5,0.49993324529121486,0.49994992782425174,0.4999405653765797
0,11,0.49329999999999996,0.4933638948370139,0.37513760259919854,0.4081350380767118
0,12,0.4976,0.46576451425146664,0.32448059673653856,0.32354908561022244
0,13,0.4960000000000001,0.47586833065727213,0.3462177258462608,0.35604670213240003
0,14,0.4939,0.38214967722853455,0.3109317767507627,0.2589290293823322
0,15,0.49289999999999995,0.41864590428336584,0.2976490876241618,0.23369371375301826
0,16,0.5015000000000001,0.5015194516945485,0.5011470729443852,0.5010706234354615
0,17,0.5044000000000001,0.5046559864131104,0.4961678809691712,0.49868663921942014
0,18,0.4986,0.4993763379285843,0.4702098222097787,0.4825136492496491
0,19,0.5027000000000001,0.5034457242093882,0.4749609709248075,0.48687940015014747
0,20,0.4957,0.5044346873407778,0.26913571092493527,0.27860595227938517
0,21,0.5039,0.5470241960798382,0.3102044473988048,0.3302791372360739
0,22,0.5018999999999999,0.5074083363414368,0.41470858202535865,0.44771492277497693
0,23,0.4969,0.5136608130021046,0.34075464745482675,0.3619806761387688
0,24,0.5043,0.5044035549960423,0.49924793823484226,0.5013173255949505
0,25,0.5027999999999999,0.5047127411709835,0.4599511898723475,0.4781120167984637
