layer,head,accuracy,precision,recall,f1
0,0,0.507,0.5095464492774134,0.46284897166544264,0.4826982639350076
0,1,0.49559999999999993,0.4988185435650722,0.45853380052674275,0.4739524991725719
0,2,0.49799999999999994,0.49833178801272454,0.48588849757670693,0.49089712044040423
0,3,0.5059,0.5068164463378275,0.47230746292157144,0.4886536086116089
0,4,0.5107999999999999,0.5115084123024946,0.47975966623818767,0.49408694561125344
0,5,0.49499999999999994,0.4943929421697927,0.45562770881287085,0.4704296671984981
0,6,0.5016,0.502825034483181,0.47610464351457243,0.48830686973445625
0,7,0.4902,0.4891535465044822,0.4259290050694591,0.4542455772138769
0,8,0.49640000000000006,0.4969700725404408,0.44652297834756033,0.46756194964331943
0,9,0.5078999999999999,0.5089783581382352,0.4804311789853689,0.49366949342617916
0,10,0.5072,0.509104591053172,0.46528697218003534,0.48397857616356965
0,11,0.4894,0.4898383045367659,0.4582205644085649,0.4725241251746148
0,12,0.5008,0.5021180705754238,0.47811672219291507,0.48881691808571287
0,13,0.4972,0.4985872296734872,0.4345961865061231,0.46112011940157355
0,14,0.49329999999999996,0.49339028333674506,0.4696297199919153,0.4788232127068236
0,15,0.496,0.4961921883591989,0.469510321946745,0.4814244338304746
0,16,0.5005,0.5005991176871298,0.4971736216026911,0.498865212028747
0,17,0.4911,0.49175305377405787,0.42629911755919087,0.45124289785610844
0,18,0.5050999999999999,0.5063291189060012,0.47703844050620675,0.49040982525652116
0,19,0.501,0.502182635591436,0.45723556511522145,0.4770790177642323
0,20,0.4957,0.4980007209369203,0.43129473370047594,0.45692277598124004
0,21,0.5039999999999999,0.5047095234130864,0.4735548806635526,0.48738411461049136
0,22,0.5032,0.5054539158555938,0.47384146108877123,0.4865545147920313
0,23,0.4997,0.500328655157419,0.4676348826248227,0.4826295040984349
0,24,0.5024,0.5029505390978226,0.44345466436264,0.4697555802472476
0,25,0.5122,0.51327466942869,0.475068491984984,0.49319025845414066
0,26,0.5046999999999999,0.5063712372669379,0.4681102708717101,0.48419376474277154
0,27,0.5024,0.504115004209701,0.4708414187804286,0.4846035310813145
