layer,head,accuracy,precision,recall,f1
0,0,0.9335000000000001,0.9216068950616807,0.9475549908717851,0.9342982365334322
0,1,0.9490999999999999,0.9174450811214447,0.9867273657959272,0.9508007931952065
0,2,0.8455,0.9109321865679171,0.7671020336214205,0.8320220210201331
0,3,0.8933,0.8441254119215171,0.9646642611375859,0.9002603194376885
0,4,0.7832,0.7736231887938654,0.8119697690164145,0.7883215462764253
0,5,0.7181,0.792077669952009,0.6297768585189024,0.6865633292061384
0,6,0.8421,0.8191252977613999,0.8803415815644602,0.8476912403419498
0,7,0.7388000000000001,0.7368555922185511,0.749953049713586,0.7404628762761567
0,8,0.6988000000000001,0.6928186463951477,0.7152213285832312,0.7033135279210979
0,9,0.8032,0.7948906335836456,0.8174482511954124,0.8058143364982261
0,10,0.9122,0.8982081055957449,0.9293996106263821,0.9135249731936869
0,11,0.9366,0.8943178169985039,0.9899276071592304,0.9396743135961628
0,12,0.9495999999999999,0.9190867446748255,0.9857527192759546,0.9512292254608136
0,13,0.9495999999999999,0.9190867446748255,0.9857527192759546,0.9512292254608136
0,14,0.9654999999999999,0.9619917270227212,0.9690329964012683,0.9654946409292041
0,15,0.6489999999999999,0.6431202256439678,0.6750496363033809,0.6573660560582533
0,16,0.7031,0.7070293588878835,0.6945646916308866,0.7002163785758275
0,17,0.7339,0.7400745896645244,0.7193324408460275,0.7294468778846589
0,18,0.9144,0.9167542983881531,0.9113485664694874,0.9139754150793037
0,19,0.7211999999999998,0.7254898835572392,0.7113382759765475,0.718018974304898
0,20,0.7103,0.759083107282914,0.6201212902429514,0.6809180787958611
0,21,0.8509,0.9446663054036524,0.7454656703134319,0.8331464289901813
0,22,0.8905999999999998,0.9250055006778084,0.8499104806130335,0.8858313389316057
0,23,0.716,0.744467798149052,0.6604107860293508,0.6986909084930005
0,24,0.9395,0.9560390483418685,0.9208900110461642,0.9381276002636152
0,25,0.9488,0.9550019651483952,0.9419205267900514,0.9484080025364019
