layer,head,accuracy,precision,recall,f1
0,0,0.5164244232256153,0.5147538774505799,0.5289701326272443,0.520857778687902
0,1,0.5000006173249151,0.49914977205565003,0.42571784449087796,0.4570791088818328
0,2,0.5062876394575565,0.5074973319496582,0.43894951190533443,0.4674387153828687
0,3,0.5136733147415645,0.5146483619436661,0.44658058779820314,0.4767573090960614
0,4,0.5146168650080175,0.5161144095185379,0.46081378505835424,0.4851437970047316
0,5,0.509351916871027,0.5110650812314365,0.4055976870349437,0.45012513860748593
0,6,0.503458223308028,0.5038363805893401,0.42746982785776344,0.4597383751289543
0,7,0.5052659667231005,0.5048859658768802,0.46936278625406913,0.4852416938909103
0,8,0.5297041933338169,0.527054257794702,0.5444831119520852,0.5353364368376436
0,9,0.5144594780209181,0.5121048893859896,0.563875241197706,0.5354591809126482
0,10,0.5104519281372066,0.51068392839193,0.4687990777318438,0.4874274214929497
0,11,0.5087237887699337,0.509397505417735,0.45487017877857905,0.47910909766495113
0,12,0.5135154030282874,0.5160053334175638,0.4343972157333324,0.46771628354629247
0,13,0.5014148469728701,0.5008629972271906,0.44707440994480274,0.4699025231967907
0,14,0.5054231685127254,0.5066747684736589,0.45007454757454834,0.4730842966169491
0,15,0.510059587287428,0.5117096049442831,0.4274201275193887,0.46413329003373105
0,16,0.5133591580922807,0.513518744810891,0.4757815077473701,0.492503159033056
0,17,0.5093517316735523,0.510346498518419,0.45120826413585713,0.4760340313235411
0,18,0.5226317178454744,0.522885514723246,0.4997798784280566,0.5096578477419949
0,19,0.5167371600275944,0.5211932882553959,0.38485941536376456,0.44072961452377973
0,20,0.5098235531061475,0.5102619582828047,0.4596346743520547,0.48215048620283313
0,21,0.5080950124776799,0.5105655531852007,0.4178224387844459,0.45599724541663766
0,22,0.512494378484992,0.5116805812855134,0.49397764167369973,0.5013255456172817
0,23,0.5001572943883621,0.49923235957275647,0.45674817089334063,0.4750281417419667
0,24,0.5010234012442184,0.5011121900858269,0.4563946990018549,0.47587764815042394
0,25,0.5148520658006628,0.5153840338100211,0.46361021686519904,0.48668797021033783
0,26,0.5045584197716824,0.5033770668405071,0.5022020912200719,0.5017425557985197
0,27,0.5042442631223987,0.5042370086557646,0.44589261763455823,0.47141048705506733
0,28,0.5099805079658063,0.5096480040881886,0.47961344249974686,0.4926187225225173
0,29,0.5227103959059012,0.5234454812307302,0.4823031054174602,0.5012022943455563
0,30,0.5095088717306859,0.509717247735544,0.4593106305649286,0.48180880262046816
0,31,0.5057374486269921,0.5058544210483412,0.45129265289456616,0.47543032783855727
1,0,0.5174457564313681,0.5165138293628055,0.5237425963059849,0.5187575189406359
1,1,0.5089580944414521,0.50861122373411,0.468234867754769,0.48534277092386596
1,2,0.5133597136847043,0.5121745878577724,0.5051521235085591,0.5080529320080093
1,3,0.5117083695368674,0.5104294504485212,0.4926272928312657,0.500748750613787
1,4,0.5177590179595251,0.5171319622996287,0.4955519299482038,0.5048924968898888
1,5,0.515087883918223,0.5150527675702474,0.46883253611115805,0.4902157705840885
1,6,0.5091942829539615,0.5107972430320293,0.41560574048370114,0.45501194881878115
1,7,0.5090371737630737,0.5080728405016173,0.4862435794956131,0.4959544240089464
1,8,0.5110005139229917,0.5105907634849421,0.4643700557359485,0.48493076569741705
1,9,0.5201949820744278,0.519463178275607,0.5004960110198173,0.5088215057134402
1,10,0.5254602388738758,0.5252406931902768,0.5050676255869664,0.513914873268289
1,11,0.5139083920692269,0.5136550052289472,0.4742787043783724,0.49181084320303936
1,12,0.5132017402389357,0.5131493860366965,0.46502023614128135,0.48703524608667054
1,13,0.517288462043006,0.5168797519065635,0.49385274847491106,0.5042764510140786
1,14,0.5100587538987927,0.5089938858766605,0.5254330313165386,0.5148765871040182
1,15,0.5125735812715967,0.5131101739891271,0.46083590173284084,0.4837040098235392
1,16,0.5181522847966764,0.517119787517726,0.5058561146225815,0.5107414571329657
1,17,0.5087222145914003,0.507080689364799,0.5131959732379648,0.5091444736486206
1,18,0.5182313949845436,0.5169935928463942,0.5292478453195274,0.5216500401220274
1,19,0.5153226525834276,0.5154623620695186,0.46761895958560185,0.4885892970035524
1,20,0.524439152598089,0.5249546074204091,0.4854958380541069,0.5039174660620693
1,21,0.5132796466432186,0.5127025700925373,0.472861745165993,0.49138640677784096
1,22,0.5106084817356707,0.5115931817416839,0.43644087263114983,0.46860712378637803
1,23,0.5073077071472335,0.5062319267749051,0.46994648789712484,0.48598556351459427
1,24,0.508723264043756,0.507878573839686,0.5020588624037476,0.5034823777435735
1,25,0.5187022904297661,0.5175348204976994,0.5147345075817752,0.514703866295223
1,26,0.5275814598808254,0.5232226274633615,0.5902390100465742,0.5537195817764913
1,27,0.5152447461791445,0.5155866075779769,0.46211201480313235,0.48631738691341847
1,28,0.5107656835252957,0.5092671144901313,0.5041256643388754,0.5060516895303051
1,29,0.5146941540873854,0.5138200606052482,0.48542965924083364,0.4980668950329498
1,30,0.5219240165628275,0.5235992246760441,0.46056616106823495,0.4891920750210946
1,31,0.5132021106338847,0.5125030646617679,0.4809951513368823,0.4956888421723137
2,0,0.5126513024784052,0.5149242994239713,0.4222794455754489,0.4591461162396877
2,1,0.5216882293115129,0.5222861039965785,0.47199854613884284,0.4952634368901939
2,2,0.5139077747443117,0.5175743287123638,0.38812264422903303,0.4376508399693183
2,3,0.5256171320010432,0.5237684296717825,0.5295072557557245,0.5260427696285523
2,4,0.528840308847655,0.5270188929826934,0.5349798744470438,0.5304906843037712
2,5,0.5175233541731936,0.5206470821623432,0.4265107911712695,0.46689543854823423
2,6,0.5073069354910896,0.5068575566882225,0.41620716042160577,0.45566226516671404
2,7,0.5176021556986035,0.5164161995677399,0.5178650838813699,0.515726456031085
2,8,0.5158727816815005,0.5163551466839139,0.46753353447576657,0.4867731457746693
2,9,0.5121008338516291,0.5123277010346621,0.46364627115402224,0.48390602000938365
2,10,0.5194085409988626,0.5216901833625649,0.434502629298649,0.47214319445122843
2,11,0.5153999725290412,0.5157061975082232,0.44105949161945696,0.4729755252357221
2,12,0.5132011537802663,0.515263884118143,0.4239993628987156,0.4620346422744648
2,13,0.5124947797461868,0.513276175187199,0.478522900737402,0.49141097475645756
2,14,0.5363828772588304,0.5323259216785547,0.5783589608598906,0.5536559925205791
2,15,0.5343398713186215,0.5337068831295977,0.5213695497705093,0.5267830763745682
2,16,0.5148516028069763,0.5135685853222793,0.522290330123656,0.51573892098439
2,17,0.5005496969706323,0.5003002778246206,0.26566412384427085,0.3325741031910806
2,18,0.5064450264446559,0.5075856157412455,0.47565157575014333,0.487342134472
2,19,0.5011775472755137,0.5084088062480421,0.07013615947565285,0.11687556597758601
2,20,0.5197240866292053,0.5180623089795302,0.5343243887897124,0.5249098169327443
2,21,0.510137370226728,0.5099853303478292,0.466009426030069,0.48504105400878156
2,22,0.5198810414888643,0.520958689132449,0.457754685053607,0.4861941923510287
2,23,0.5109225766524631,0.509971224438817,0.4820789742149044,0.4945607994850481
2,24,0.5176795373767087,0.5195218858807417,0.4294640999500766,0.4682586266047698
2,25,0.5209821948061368,0.5141320916778097,0.714903832906033,0.597536684381129
2,26,0.5098221023925971,0.510080512535928,0.42955659633935295,0.4647281522041478
2,27,0.5242029949518254,0.5218624365712282,0.5512203006939014,0.5350851468864609
2,28,0.5288391050640706,0.529375432236569,0.4965335958778139,0.5116948931373726
2,29,0.5297031747477071,0.5308601691151794,0.486983337194724,0.5070440674283774
2,30,0.5176809572240133,0.5184324159725322,0.4716348871295972,0.4926327271608833
2,31,0.5157937640923703,0.5157271844355017,0.4668744400013004,0.4884080989377895
3,0,0.5285245162873462,0.5266944723774147,0.5458671516092395,0.5340354435161941
3,1,0.5282877721824134,0.5313642824108267,0.46226870316331625,0.49137272885030175
3,2,0.517994373083399,0.5237900343137781,0.38784192294825465,0.44037720332319436
3,3,0.5310397449213451,0.531783476657939,0.49481273722882746,0.512113980725834
3,4,0.5275805956259443,0.531068939415792,0.4440040907166768,0.4822535327107299
3,5,0.5249107579669638,0.52443264699808,0.5387156206890208,0.5282197681380717
3,6,0.5254605475363334,0.5258958175431323,0.4993841874220305,0.511149651959525
3,7,0.5050298399430827,0.5046982975625876,0.4394895417213719,0.46827090722501463
3,8,0.5239676398279516,0.5248590100863418,0.4792573070618764,0.5003325649969199
3,9,0.5245177997922702,0.5243728749040241,0.49297116227360355,0.5077660885035885
3,10,0.5107645723404486,0.5099284060237246,0.47259513847686874,0.4876194167245795
3,11,0.5167378699512468,0.5163988710368693,0.5091224887555247,0.5098489538055048
3,12,0.5139082686042438,0.5139724917674439,0.4692807031724178,0.4878702558862787
3,13,0.5112381222828057,0.5124637015173007,0.4761852687317513,0.48921438183511945
3,14,0.5101370615642705,0.5102455931986201,0.5077276187953846,0.5020469749516512
3,15,0.5185438231240653,0.5193089383232617,0.45927154716473373,0.48567737268723815
3,16,0.519724765686612,0.5179482806752593,0.5530365512662749,0.5334270292369064
3,17,0.5148512015457816,0.5166587376628324,0.4239700465443409,0.4635616819219418
3,18,0.5213742269934578,0.5235110657309905,0.45175150323095503,0.48367640655654104
3,19,0.5220031576169406,0.5222622697125374,0.503335000093813,0.5108759821370972
3,20,0.5219222880530653,0.5206914189688401,0.5033237248455784,0.5100283328399804
3,21,0.5025937214969513,0.5013553131649827,0.43146882445001367,0.4628748157238741
3,22,0.5177588636282964,0.5187194650358162,0.4581498780537225,0.4850958928082746
3,23,0.5269539799708931,0.5287965798847191,0.4836933666432631,0.5039649169955754
3,24,0.5156372104939061,0.5181166510655799,0.44103760492018773,0.4717459113167828
3,25,0.5121011425140866,0.5131800029860452,0.4378812076632393,0.4706989387827541
3,26,0.5216105698371959,0.5212199035866137,0.5034387622833048,0.5109027638860806
3,27,0.5033789279226862,0.5025325639660145,0.4195989134705923,0.4554603353913529
3,28,0.5091929248391482,0.5110064189854492,0.35710136550341487,0.41737995444736314
3,29,0.5297026500215292,0.5361041130323929,0.42202577817000186,0.47067265844251455
3,30,0.5263242468250209,0.5283541623381696,0.474106953166896,0.4982631115437486
3,31,0.5107661465189819,0.5109186692780774,0.4898880987740621,0.49756114465537066
4,0,0.517838560274833,0.5172695272545406,0.5176130289925392,0.5157104981509926
4,1,0.5159515214744188,0.5192900369304808,0.3922637622141715,0.44594711391527647
4,2,0.5297831183242099,0.5283693851023453,0.5238204873177323,0.5258579263773085
4,3,0.5070732780107322,0.5062435450594028,0.5422543826757036,0.5207136943195579
4,4,0.5264044064652438,0.5321035443815767,0.42491880357533035,0.4716198332026867
4,5,0.5073865086726433,0.5057445166849078,0.5093184223537779,0.5066738874536377
4,6,0.5095864077400198,0.5077500464252723,0.5177050592862062,0.5116285469749926
4,7,0.5073872494625415,0.506828360105241,0.5098334726639907,0.5066215171927826
4,8,0.5301750579127936,0.5320056315161421,0.4830299674279429,0.5054349263151287
4,9,0.5236531127837186,0.5165865907620721,0.6998183745736775,0.5933197586933052
4,10,0.5040862896766297,0.5040198426081055,0.4620417751078847,0.4778367791339481
4,11,0.509586006478825,0.5083686418446653,0.4958735505099556,0.4997026388581215
4,12,0.5148506150871122,0.5121539506148204,0.5522469656788159,0.5302118092342193
4,13,0.5178381281473924,0.5205956209559695,0.44388108242178115,0.47651857490287874
4,14,0.5407045837918256,0.5331626435517494,0.633153232137708,0.5782259016623279
4,15,0.515480687761688,0.5151451450041933,0.5042920261368095,0.5072555731620041
4,16,0.5257744572556512,0.5260370722149841,0.48899988608270284,0.506187923987278
4,17,0.504242966740077,0.5028751301557011,0.4818422022081929,0.490884279840796
4,18,0.5174449539089785,0.5150803960382531,0.5698495631671043,0.5387246534905807
4,19,0.5163453439039937,0.5161006130100061,0.5201469968627699,0.5145744502251829
4,20,0.5276601379412523,0.527543823220421,0.4980962714610754,0.511731218395668
4,21,0.5238878197164317,0.5218514744375581,0.5261717846453162,0.5235958765755115
4,22,0.5232605558702198,0.5211044908920996,0.5503242182402465,0.53417574950147
4,23,0.529703051282724,0.5257347433140676,0.5757286425694101,0.5488998620985505
4,24,0.5242026862893681,0.5270148600305667,0.4533284904115546,0.485170618635521
4,25,0.5140660877187837,0.5165502362059169,0.4805713448354429,0.48682498831794874
4,26,0.5195661131834366,0.5170986072234672,0.5362611380315785,0.5260331853376349
4,27,0.5340269184529222,0.5226131378043315,0.7451850888195889,0.6141345657660683
4,28,0.5103730648793052,0.5094670610991804,0.5029019921769629,0.5046614941578427
