layer,head,accuracy,precision,recall,f1
0,0,0.7163,0.6532994386162905,0.9228070920968717,0.764652446907824
0,1,0.72515,0.6464564674933314,0.9927855869957816,0.7830101392431785
0,2,0.65665,0.6165529594710029,0.8285133363830639,0.7067996936875854
0,3,0.7149,0.6402572895504519,0.9800264146837696,0.7744824688573402
0,4,0.6266499999999999,0.5964590238549016,0.7836389763804279,0.6768324546785623
0,5,0.60345,0.676794411378887,0.45507014688684366,0.5260297979528936
0,6,0.6704000000000001,0.615905583844247,0.9050966777489442,0.7328807657087169
0,7,0.6234,0.6010425557782402,0.7399541896684598,0.6613732184140803
0,8,0.60025,0.5924295066477836,0.6421382880703655,0.6161116076589034
0,9,0.65525,0.6302868233806718,0.7505862283660422,0.6850562305657568
0,10,0.6940999999999999,0.6276837305044312,0.9529517961273537,0.7568138992527521
0,11,0.73055,0.6505648855605942,0.9951845866717217,0.7867688229936839
0,12,0.7219,0.6454266229533492,0.9837727517434119,0.7794403972668904
0,13,0.7253000000000001,0.6471286345120844,0.9899978778048475,0.78262835195836
0,14,0.73315,0.6556414112728324,0.9813042025200673,0.7860405980370564
0,15,0.5779500000000001,0.5594155697326103,0.7331759961492265,0.6344568497354006
0,16,0.59645,0.6015450736340501,0.571828821198846,0.5859246552562947
0,17,0.6175500000000002,0.6361800311202466,0.5497069967105522,0.5894578572681466
0,18,0.6963999999999999,0.6893505730413712,0.7144827458716211,0.7016288701680319
0,19,0.62025,0.615555414320472,0.6419061154187738,0.6279892575864979
0,20,0.6024499999999999,0.6338703800415353,0.4924118828934164,0.5519607226303772
0,21,0.5967499999999999,0.5800933032974319,0.6994484382168713,0.6340630156052776
0,22,0.68685,0.6549092117467514,0.7894633118514429,0.7157825401715022
0,23,0.6103999999999999,0.6016547250823369,0.6601079696860166,0.627534552890486
0,24,0.7222500000000001,0.7081827897687968,0.7553662044507645,0.7309711764248266
0,25,0.7182499999999999,0.6804829703031754,0.8222720674777545,0.7446133510977042
0,26,0.7312,0.7223574703612542,0.7511054413327467,0.7362559064979476
0,27,0.7362500000000001,0.7338139605281077,0.7412863751869008,0.7373779636820539
0,28,0.7253999999999999,0.7186114203275324,0.7407585554703584,0.7293814871337226
0,29,0.7259500000000001,0.6658465360850881,0.9073602576933573,0.7678486934175133
0,30,0.7195999999999999,0.6973449776970483,0.7760337590076262,0.7343696399524521
0,31,0.729,0.6532235804999347,0.9753972822427682,0.7824076588243218
1,0,0.72095,0.6861465181753232,0.8142513651408073,0.7445918507528357
1,1,0.69575,0.683531142608528,0.7288897291891718,0.7052366164469361
1,2,0.69795,0.6808927813658849,0.7447775369300556,0.7112691021351393
1,3,0.72695,0.6978907527783378,0.8002792205628257,0.7453762435822624
1,4,0.73285,0.6796649423567847,0.8811013217803213,0.7671818992067873
1,5,0.70065,0.7021489762393893,0.6969306377362157,0.6993479563195402
1,6,0.73295,0.7136089872761463,0.7782091357711416,0.7443450738266514
1,7,0.73405,0.7067292608538982,0.7999535413921496,0.750319125840682
1,8,0.6976,0.6609584919348528,0.8114235218734578,0.7282847484875344
1,9,0.7196,0.7517493057153815,0.6557032136017492,0.7002645313049556
1,10,0.6964,0.9594460527110741,0.40980369163085867,0.574288226552343
1,11,0.6992499999999999,0.6563969631237179,0.8372226326317465,0.7354835367187327
1,12,0.72705,0.6835646509734399,0.8454789332289302,0.755766037675308
1,13,0.7021499999999998,0.6844076951367727,0.7511674839977448,0.7159114238240443
1,14,0.6775,0.6434599483352448,0.7983492702063868,0.7119149360179129
1,15,0.6545000000000001,0.6166928734592159,0.815600342425879,0.7022477371091579
1,16,0.6865,0.6486866107634444,0.8150782377373362,0.7219517145687554
1,17,0.6415,0.599278306842155,0.8547883868486889,0.7043383103744755
1,18,0.673,0.6365897126371198,0.8076883557126132,0.7115538684783271
1,19,0.69235,0.6419679859506603,0.8691491526801853,0.7384081463873368
1,20,0.7061999999999999,0.6569492113385211,0.8627790824294019,0.7458001051177767
