layer,head,accuracy,precision,recall,f1
0,0,0.9177089421390999,0.9535714285714286,0.8537788137788139,0.8999874840939336
0,1,0.9146113383985973,0.954,0.8430354830354829,0.8937713416526977
0,2,0.8184102863822327,0.9764705882352942,0.6157368557368558,0.7530234992029012
0,3,0.9213325540619521,0.9726190476190476,0.8478839678839678,0.9049433604531163
0,4,0.9727060198714202,0.9744107744107744,0.9593110593110593,0.966715620877663
0,5,0.9077147866744595,0.9052362707535121,0.895892255892256,0.894428721707557
0,6,0.8936879018118059,0.967251461988304,0.7834602434602435,0.8634326060413017
0,7,0.8837521917007598,0.9553359683794467,0.7826987826987828,0.8547159971811136
0,8,0.8421975452951491,0.9560130718954248,0.6846568246568246,0.7960909090909091
0,9,0.9315604909409702,0.9662207357859532,0.878912198912199,0.918654111526642
0,10,0.9454120397428405,0.9647272727272729,0.9065164465164465,0.9340312582067318
0,11,0.9315604909409702,0.9425284280936455,0.901989121989122,0.9212342161930339
0,12,0.935125657510228,0.9647272727272729,0.8847500647500649,0.9220379423532133
0,13,0.9658679135008766,0.9588133283785456,0.9593110593110593,0.9589044777724023
0,14,0.9522501461133841,0.9449002849002849,0.9452369852369852,0.9440309126569494
0,15,0.9692577440093512,0.9679591615075486,0.9593110593110593,0.9634369323530729
0,16,0.8632378725891291,0.9052034632034631,0.7684434084434084,0.8302503052503052
0,17,0.9420222092343659,0.9744107744107744,0.8938409738409738,0.9297269886440833
0,18,0.948801870251315,0.9296594982078853,0.9502201502201502,0.9394369557497088
0,19,0.9077147866744595,0.9542124542124542,0.8308987308987309,0.8869522029749346
0,20,0.9453535943892459,0.9434059209711384,0.9304221704221705,0.9364962093775654
0,21,0.8666277030976037,0.9669467787114845,0.7242838642838642,0.8267490963143137
0,22,0.7983050847457628,0.9708333333333332,0.5639316239316239,0.7025414196686426
0,23,0.8218001168907072,0.8990008443568815,0.6804662004662004,0.7727939256510685
0,24,0.8286382232612507,0.9174210526315789,0.6816938616938616,0.7789413376838101
0,25,0.8699590882524839,0.9199047619047619,0.7792178192178192,0.8421331499642924
0,26,0.8355347749853885,0.95,0.6747422947422947,0.7867590635032495
0,27,0.8940385739333723,0.9291350356567747,0.823035483035483,0.8724780281757747
1,0,0.9452951490356517,0.9581384133108273,0.9143796943796945,0.9355447187925602
1,1,0.9385154880187025,0.931162196679438,0.9304221704221703,0.9289167439670909
1,2,0.8080654587960258,0.8309934318555008,0.7315255115255115,0.7719559516683638
1,3,0.9454704850964347,0.9318518518518518,0.945977725977726,0.9381430491818478
1,4,0.8802454704850964,0.8709354152288935,0.8717896917896917,0.8675961457896941
1,5,0.8699590882524839,0.9100189665407058,0.7875679875679876,0.8431752259898155
1,6,0.9007013442431328,0.945703933747412,0.8244340844340844,0.8802717072974662
1,7,0.876446522501461,0.961335156071998,0.7611862211862211,0.8489864311823107
1,8,0.8765634132086498,0.936137566137566,0.7784770784770785,0.8485655806182122
1,9,0.8700175336060783,0.9314182194616978,0.7628023828023828,0.8378356920509612
1,10,0.859614260666277,0.9369626111314091,0.7335405335405335,0.8212564102564104
1,11,0.9280537697253068,0.9655677655677657,0.8715876715876716,0.9155634873519395
1,12,0.9039742840444186,0.9623376623376624,0.8192488992488993,0.8834864341170764
1,13,0.8837521917007598,0.9337092731829575,0.7935198135198135,0.8534683410688636
1,14,0.9418468731735826,0.9659130434782608,0.901989121989122,0.9321021407213358
1,15,0.9624196376388078,0.9579124579124579,0.9502201502201503,0.953990889285007
1,16,0.9008766803039159,0.8360209235209236,0.9684019684019682,0.8966944668639583
1,17,0.9658094681472823,0.9685483870967742,0.9530173530173529,0.9595379393570793
1,18,0.9213325540619521,0.980952380952381,0.840932400932401,0.9044171701337635
1,19,0.9486849795441262,0.9182280605728881,0.9758093758093758,0.9448669556929883
1,20,0.9589713617767387,0.9202783251231527,0.990909090909091,0.9540851631654652
1,21,0.9178842781998832,0.9513301435406699,0.8508106708106707,0.8975428030400469
1,22,0.9418468731735826,0.9659130434782608,0.9030147630147629,0.9324211735976442
1,23,0.9556399766218586,0.9653198653198654,0.9284537684537686,0.9462377271190832
1,24,0.9453535943892462,0.9347184667184667,0.9461797461797461,0.9380998796317945
1,25,0.9692577440093512,0.9607142857142857,0.9684019684019682,0.9640044512099715
1,26,0.9623611922852133,0.9530219780219781,0.9617353017353016,0.9568438816366402
1,27,0.9452367036820573,0.9601851851851851,0.9174617974617973,0.9368877252716846
2,0,0.8768556399766219,0.99,0.7381403781403781,0.8392044134727061
2,1,0.856165984804208,0.967251461988304,0.7049417249417249,0.8146413972500929
2,2,0.9106954997077732,0.9718181818181819,0.8303082103082102,0.8927462407791593
2,3,0.9245470485096435,0.9722943722943723,0.8590261590261591,0.9105383244206774
2,4,0.9417884278199884,0.9923076923076923,0.8775135975135975,0.9308521164854151
2,5,0.9178842781998832,0.980952380952381,0.8342968142968143,0.8987891199156
2,6,0.845645821157218,0.9473684210526315,0.6996736596736597,0.8035391052659456
2,7,0.9590298071303331,0.9693181818181819,0.9368039368039367,0.9518282781269427
2,8,0.9555815312682642,0.9451275576275575,0.9502201502201502,0.9474023598186714
2,9,0.9590882524839275,0.9340714285714287,0.9758093758093758,0.9538047681791879
2,10,0.9658679135008766,0.9611904761904763,0.9617353017353019,0.9606917890293849
2,11,0.897136177673875,0.9579090909090908,0.816151256151256,0.8773669161550753
2,12,0.9213909994155465,0.9579124579124579,0.8626159026159026,0.9038309277992402
2,13,0.9316189362945646,0.9818181818181818,0.8626159026159026,0.9161517555650264
2,14,0.9246639392168323,0.9377777777777778,0.8922455322455323,0.9119828529623382
2,15,0.9727060198714202,0.961405529953917,0.9758093758093758,0.9679984899581088
2,16,0.9590298071303331,0.9516908212560387,0.9519036519036519,0.9513573079610815
2,17,0.9417884278199884,0.9516908212560387,0.9154933954933954,0.931992337164751
2,18,0.9416130917592052,0.9670915750915752,0.9034706034706035,0.9333218777711977
2,19,0.9005844535359439,0.8940635451505017,0.8847500647500649,0.8887038614999663
2,20,0.8562244301578025,0.8883997862819741,0.7879357679357678,0.8307688137063544
2,21,0.9419053185271771,0.9097354497354498,0.967003367003367,0.9365116522563331
2,22,0.9624196376388078,0.9675925925925926,0.9466355866355867,0.9561191500439843
2,23,0.9521917007597895,0.9566137566137567,0.927055167055167,0.9415420616087156
2,24,0.9692577440093512,0.9541409796893667,0.9758093758093758,0.9641157396958706
2,25,0.9588544710695499,0.9601648351648352,0.9484019684019683,0.9535732688594658
2,26,0.9077147866744595,0.925,0.8600725200725201,0.8902662789982946
2,27,0.9590882524839275,0.9589177489177491,0.9435534835534837,0.9508103661044837
3,0,0.8630040911747514,0.9603326498063339,0.7308987308987309,0.827520325203252
3,1,0.8837521917007598,0.9663043478260869,0.7599222999222999,0.8500823690431754
3,2,0.8150789012273524,0.9093871041239462,0.6635431235431235,0.7623188405797101
3,3,0.8733489187609585,0.9707070707070706,0.7424656824656823,0.8395015819239422
3,4,0.897136177673875,0.9550406115623506,0.8128671328671329,0.8751564776710451
3,5,0.8558153126826417,0.9894736842105264,0.6914944314944315,0.8120176216939864
3,6,0.8596727060198713,0.8963552576455802,0.7884226884226886,0.8359041231992052
3,7,0.9350087668030392,0.9325674325674326,0.9197358197358196,0.9243069509107246
3,8,0.9315604909409704,0.9823076923076922,0.8613882413882413,0.9162399547242167
3,9,0.976095850379895,0.9616068181986837,0.9835016835016834,0.9723442070983055
3,10,0.9624196376388078,0.9479495414979286,0.9686868686868687,0.9580007727548712
3,11,0.9074810052600819,0.9731225296442687,0.8229008029008028,0.8897364208118926
3,12,0.935125657510228,0.9741258741258741,0.8787412587412586,0.9215687433753258
3,13,0.9588544710695499,0.9607142857142857,0.9470914270914271,0.9525581550597615
3,14,0.8870251315020458,0.9257459062676453,0.8189950789950791,0.8660776148246698
3,15,0.8423144360023379,0.8677248677248677,0.7687283087283087,0.8134802043422733
3,16,0.911104617182934,0.9482517482517483,0.8469412069412069,0.8934078948903748
3,17,0.8869666861484511,0.9177329192546584,0.8275110075110075,0.8681257391845627
3,18,0.9178258328462887,0.9212132822477649,0.8885055685055686,0.9035115364413185
3,19,0.9487434248977206,0.9593241840618152,0.9237555037555039,0.9406012570255691
3,20,0.9075978959672707,0.9216969696969697,0.8643149443149442,0.8904151404151405
3,21,0.9726475745178258,0.9421805046805047,1.0,0.9694717718880834
3,22,0.9589713617767387,0.9535185185185184,0.9546127946127946,0.9534349064783847
3,23,0.9315604909409702,0.9382886334610472,0.908085988085988,0.920869485258234
3,24,0.9521917007597895,0.9659130434782608,0.9219891219891221,0.9426284565108094
3,25,0.9658679135008766,0.9611409796893667,0.960994560994561,0.9603087234004176
3,26,0.9727060198714202,0.9611409796893667,0.9760942760942761,0.9681490148145159
3,27,0.9658094681472823,0.9542626728110599,0.9684019684019682,0.9607257626853813
4,0,0.8599649327878434,0.9554920634920634,0.719015799015799,0.8139184474573338
4,1,0.821917007597896,0.920658263305322,0.6661901061901061,0.7700002232149974
4,2,0.9210987726475744,0.8911162196679439,0.9417353017353017,0.9151024074075874
4,3,0.9282291057860901,0.9236936396936397,0.9128982128982128,0.9174380833441825
4,4,0.8801870251315019,0.9004437124871908,0.8264024864024864,0.8596511226916395
4,5,0.9658094681472823,0.9607142857142857,0.9617353017353016,0.960614620701497
4,6,0.9487434248977207,0.9606960408684546,0.9251541051541052,0.9410317967193429
4,7,0.5476914085330217,0.0,0.0,0.0
4,8,0.9486849795441262,0.967,0.9167210567210567,0.9398246459175473
4,9,0.8902980713033314,0.9655797101449275,0.792872312872313,0.8660370675076556
4,10,0.7772063120981881,0.9639705882352942,0.5381300181300182,0.6843112701252236
4,11,0.9281122150789012,0.9824761904761905,0.8566899766899766,0.9138589847091371
4,12,0.9693161893629456,0.961405529953917,0.9684019684019685,0.9640797671714614
4,13,0.6161309175920514,0.9666666666666668,0.16289044289044288,0.2752384443513476
4,14,0.9624196376388078,0.9665056360708533,0.945977725977726,0.9557786651131212
4,15,0.9451782583284629,0.9304885201944024,0.9543278943278943,0.9410666728601511
4,16,0.9760958503798948,0.9675925925925926,0.9758093758093758,0.9712797196173154
4,17,0.9727060198714202,0.9675925925925926,0.9684019684019682,0.967506134711655
4,18,0.9179427235534774,0.9633551645230017,0.844061124061124,0.8990311057866718
4,19,0.9691992986557569,0.9494107744107744,0.9835016835016834,0.9656774787209569
