layer,head,accuracy,precision,recall,f1
0,0,0.9454120397428405,0.9784632034632035,0.9153108465608465,0.9452376204719176
0,1,0.9453535943892459,0.978042328042328,0.9175330687830687,0.9460935090628727
0,2,0.8703097603740503,0.976,0.7742358104858106,0.8601312561393059
0,3,0.9318527177089422,0.9775925925925926,0.8919179894179894,0.931735051256487
0,4,0.9762127410870836,0.9804761904761905,0.9755357142857143,0.977746124842899
0,5,0.9039742840444184,0.924,0.877545695045695,0.8974909638275129
0,6,0.835885447106955,0.9747838827838826,0.6929076479076479,0.8050487626268635
0,7,0.9045587375803624,0.9689148351648351,0.8428962241462241,0.8965908053304513
0,8,0.8668614845119814,0.9585925925925926,0.7728727753727754,0.8549101674285484
0,9,0.9762127410870836,0.9804761904761905,0.9755357142857143,0.977746124842899
0,10,0.9488603156049095,0.9725108225108225,0.9284421596921597,0.949285209909384
0,11,0.9625949736995908,0.9710397975615367,0.9567857142857144,0.9624760926455842
0,12,0.9524839275277615,0.9787965367965368,0.9328571428571429,0.9530199831128623
0,13,0.9727644652250145,0.9717805383022775,0.9755357142857143,0.9733016803984545
0,14,0.9659263588544711,0.9735301422509431,0.9618783068783069,0.967206175730766
0,15,0.9558153126826416,0.9728140394088671,0.9458928571428572,0.9579317697228145
0,16,0.8286966686148451,0.8893338418510043,0.7465265752765754,0.8067461514458081
0,17,0.9315604909409702,0.9765570175438597,0.8850595238095238,0.9253033096811804
0,18,0.9589713617767387,0.9520765256249127,0.9664448051948054,0.9584865750742898
0,19,0.9213909994155465,0.9541798941798941,0.8868578643578644,0.9180441937950807
0,20,0.9524254821741671,0.9630824372759857,0.949702380952381,0.9560813154790815
0,21,0.8630040911747516,0.9637830687830687,0.7556409331409332,0.8418796520491437
0,22,0.770718877849211,0.941285030758715,0.579359668109668,0.7150629972929625
0,23,0.7738164815897137,0.8394973544973544,0.6790133477633479,0.7389906127325482
0,24,0.8080654587960258,0.9051428571428571,0.6970159932659933,0.7737654355393635
0,25,0.8904149620105202,0.9579761904761904,0.8123797498797499,0.8783282423529464
0,26,0.8049094097019287,0.8773809523809524,0.7156307118807119,0.7776902381990853
0,27,0.9109877264757451,0.9516042163250173,0.8628595478595479,0.9048062878791054
1,0,0.9555815312682642,0.9744107744107744,0.9371488696488697,0.9549052630188533
1,1,0.9623611922852133,0.9502316263594958,0.9732305194805196,0.9612994688253064
1,2,0.746697837521917,0.7734395234395234,0.7308519721019721,0.7392412161997416
1,3,0.9451782583284629,0.9694444444444444,0.9231842231842231,0.9438082209628037
1,4,0.8905318527177091,0.8693768300664854,0.9321657046657046,0.8984946039875619
1,5,0.8421390999415547,0.8395384250474383,0.8383255170755171,0.8364787492617328
1,6,0.9247223845704268,0.9583838383838383,0.8891029341029342,0.9218876346025684
1,7,0.9318527177089422,0.9649587136795146,0.9040969215969217,0.9329234534279864
1,8,0.8803039158386909,0.9430220713073005,0.8091853054353055,0.870299978156204
1,9,0.8803039158386907,0.8877380952380951,0.8778631553631554,0.8779125238266963
1,10,0.8561659848042081,0.9430859728506787,0.747104377104377,0.8333887552082709
1,11,0.9318527177089422,0.9627570131018407,0.9038918951418952,0.9317092244730425
1,12,0.9215663354763297,0.9836666666666666,0.8612361712361712,0.9171495694620401
1,13,0.8561075394506137,0.8593473193473194,0.852902837902838,0.8550310682022644
1,14,0.9451782583284629,0.9852150537634408,0.9073941798941799,0.9437313052765204
1,15,0.962302746931619,0.9624464886964887,0.9624464886964887,0.9615806878306878
1,16,0.911104617182934,0.8624742501414827,0.9817857142857143,0.9180310790214052
1,17,0.9691408533021626,0.9863425925925926,0.9491131553631554,0.9670236806200074
1,18,0.9076563413208649,0.9774948240165632,0.8343969456469458,0.9001758241758242
1,19,0.9213325540619521,0.8825948766603415,0.9715373977873979,0.9246795487886554
1,20,0.9624196376388078,0.9370303222792421,0.9942857142857143,0.9647893683377555
1,21,0.9317358270017534,0.958292101709002,0.9114021164021164,0.9328187346097794
1,22,0.9454704850964349,0.9727388830837107,0.9193512506012507,0.9449634270058244
1,23,0.9590882524839275,0.9792444279652288,0.9413588263588263,0.959314074773757
1,24,0.9693161893629456,0.9569747899159664,0.9885714285714287,0.9718228081560163
1,25,0.9795441262419639,0.9799539170506912,0.9817857142857143,0.980662587590599
1,26,0.9691992986557569,0.9651352813852814,0.9722781385281387,0.9686417748917749
1,27,0.948801870251315,0.9729007158418923,0.9250655363155363,0.9477064642282034
2,0,0.8392752776154296,0.9701932367149759,0.7048298460798461,0.8126456494325348
2,1,0.8770309760374051,0.9817460317460318,0.7688474025974026,0.8533693592269443
2,2,0.9180011689070721,0.9838969404186795,0.850571188071188,0.9119904883750767
2,3,0.938573933372297,0.9849002849002849,0.8933128908128907,0.9364088583545372
2,4,0.9385154880187025,0.9793891293891294,0.8945027657527657,0.9339313349861017
2,5,0.907364114552893,0.9888888888888889,0.8145027657527658,0.8909210204024269
2,6,0.8733489187609585,0.946137566137566,0.7904653679653679,0.8591548054784572
2,7,0.9659263588544711,0.9803081232492998,0.9540638528138528,0.9667237650840994
2,8,0.955698421975453,0.9614495798319329,0.9538588263588264,0.957446992677023
2,9,0.9659263588544711,0.973690180786955,0.9607208994708994,0.9670919436957173
2,10,0.9589129164231445,0.9795,0.9347150072150072,0.956303193858463
2,11,0.9281706604324956,0.963099128540305,0.8833946608946608,0.9193592154811862
2,12,0.9281122150789013,0.9607840290381124,0.8854022366522367,0.9212224765742143
2,13,0.9452367036820574,0.9749509803921569,0.9125024050024051,0.9415035348179568
2,14,0.9489187609585038,0.9666518353726363,0.9397619047619049,0.9515085928972828
2,15,0.9727644652250147,0.974589027530204,0.9749140211640211,0.9746661711879103
2,16,0.9486849795441262,0.9355502968406194,0.9636038961038962,0.9483397990201203
2,17,0.9486849795441262,0.9603367003367003,0.9374795574795576,0.9482707270942564
2,18,0.9522501461133841,0.9727571279295418,0.9346921596921597,0.9528917672864331
2,19,0.9043834015195792,0.9007873796196606,0.9159848484848485,0.9062146892655367
2,20,0.8631209818819403,0.8948900549725136,0.8209511784511785,0.8548732283052749
2,21,0.9383401519579193,0.9307563025210083,0.9409746272246272,0.934993631593789
2,22,0.9659848042080654,0.9676199512062891,0.9698214285714286,0.9685162797921173
2,23,0.9420806545879603,0.9546893667861409,0.9361802549302549,0.9447212786375936
2,24,0.9795441262419639,0.9685301288749566,0.99375,0.9808094722179229
2,25,0.9727644652250147,0.9805231770127406,0.9669805194805197,0.9734930118752161
2,26,0.9658094681472823,0.9734259259259259,0.9586207311207312,0.9658762124105905
2,27,0.9692577440093512,0.9773146208630079,0.9603138528138528,0.9684767342992666
3,0,0.8870251315020455,0.9549351851851853,0.8109012746512747,0.8759336736569218
3,1,0.8665108123904149,0.9829090909090908,0.7501443001443001,0.8491452132635736
3,2,0.8189362945645822,0.9065850815850818,0.7136447811447811,0.7930465320456541
3,3,0.8426651081239042,0.9367463768115941,0.7278186628186629,0.8180584029632183
3,4,0.8907071887784921,0.9848571428571429,0.7951274651274651,0.8795147208681042
3,5,0.839509059029807,0.9730848861283643,0.7108489658489658,0.8192885149693906
3,6,0.8698421975452952,0.9231193926846102,0.7931265031265031,0.8528629579375847
3,7,0.9555230859146698,0.9402106522496329,0.9734259259259259,0.9564016578101086
3,8,0.9112215078901228,0.9775483870967742,0.8452669552669553,0.9059347584379678
3,9,0.9794856808883694,0.98109243697479,0.9785281385281387,0.9793634862792203
3,10,0.9555230859146698,0.9457642577710628,0.9658231120731122,0.9554182666941042
3,11,0.9077732320280537,0.9780092592592593,0.8346975709475709,0.8981300899211346
3,12,0.9385154880187025,0.9724245253657019,0.9030579605579605,0.9351357452920727
3,13,0.9658679135008766,0.9737600273084144,0.9590373977873978,0.9660452297565675
3,14,0.846405610753945,0.8656980713432325,0.8249362674362676,0.8410849954531054
3,15,0.8255406195207481,0.8605194805194806,0.7827272727272727,0.8172913111085828
3,16,0.9213909994155465,0.971961371961372,0.8662451899951898,0.9135726548815051
3,17,0.8870251315020458,0.9121184799305416,0.8592454304954306,0.8827197995637055
3,18,0.9624196376388078,0.9564816263594957,0.9669805194805197,0.961304347826087
3,19,0.9353009935710113,0.9629556465040336,0.9119209956709957,0.9348380355276907
3,20,0.9215078901227354,0.9259770114942529,0.9193512506012507,0.9221448219197657
3,21,0.9794856808883694,0.9603896163420955,1.0,0.9797629959255449
3,22,0.9794856808883694,0.9775112443778111,0.9817857142857143,0.979062534784835
3,23,0.9386908240794858,0.953259924659519,0.9312830687830689,0.9411650349159562
3,24,0.9693161893629456,0.9928571428571429,0.9483495670995671,0.9695313536100965
3,25,0.96937463471654,0.9859605911330049,0.9544805194805196,0.9694366780088114
3,26,0.975978959672706,0.9701298701298701,0.980952380952381,0.9747959586640246
3,27,0.9624196376388078,0.9476122544788212,0.9813690476190476,0.9640645582899104
4,0,0.8801285797779077,0.9585833521317392,0.787207190957191,0.8634693540838214
4,1,0.8154880187025132,0.9647780320366133,0.6649482924482925,0.7819858476045088
4,2,0.9246639392168323,0.9165385782182224,0.9344775132275132,0.9246736518318421
4,3,0.9210987726475744,0.8944294561941621,0.9509986772486773,0.9192989760006567
